,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,teams,playerprofile,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
0,0,0,1,1,1,1,1,KSV Roeselare (- 2020),Christophe Lauwers,17/09/1972,Centre-Forward,Retired,01/07/2010,?,01/07/2007
1,1,1,3,3,3,3,3,KSV Roeselare (- 2020),Sébastien Dufoor,07/07/1981,Centre-Forward,KVK Wemmel,01/07/2018,free transfer,01/07/2015
2,2,2,4,4,4,4,4,KSV Roeselare (- 2020),Wagneau Eloi,11/09/1973,Centre-Forward,Retired,01/07/2007,?,01/07/2005
3,3,3,5,5,5,5,5,KSV Roeselare (- 2020),Bas Vervaeke,13/11/1983,Attacking Midfield,Retired,01/07/2015,?,01/07/2014
4,4,4,7,7,7,7,7,KSV Roeselare (- 2020),Jamaïque Vandamme,01/08/1985,Attacking Midfield,Retired,01/07/2020,free transfer,13/07/2019
5,5,5,9,9,9,9,9,KSV Roeselare (- 2020),Koen De Vleeschauwer,12/05/1971,Right Midfield,Retired,01/10/2009,free transfer,01/07/2008
6,6,6,10,10,10,10,10,KSV Roeselare (- 2020),Rocky Peeters,18/08/1979,Central Midfield,Retired,01/07/2018,free transfer,01/07/2015
7,7,7,14,14,14,14,14,KSV Roeselare (- 2020),Frédéric Vanderbiest,10/10/1977,Defensive Midfield,Retired,01/07/2011,?,01/07/2009
8,8,8,16,16,16,16,16,KSV Roeselare (- 2020),Daan Vaesen,11/07/1981,Defensive Midfield,Retired,30/08/2016,free transfer,01/07/2015
9,9,9,19,19,19,19,19,KSV Roeselare (- 2020),Martijn Monteyne,12/11/1984,Right-Back,Retired,01/07/2021,free transfer,21/07/2018
10,10,10,20,20,20,20,20,KSV Roeselare (- 2020),Björn De Coninck,20/07/1977,Left-Back,Retired,01/07/2009,free transfer,01/07/2008
11,11,11,24,24,24,24,24,KSV Roeselare (- 2020),Wouter Biebauw,21/05/1984,Goalkeeper,Retired,01/07/2022,free transfer,23/09/2020
12,12,12,25,25,25,25,25,KSV Roeselare (- 2020),Jurgen Sierens,10/04/1976,Goalkeeper,Retired,01/07/2012,-,01/07/2011
13,13,13,27,27,27,27,27,SV Zulte Waregem,Ibrahim Tankary,24/03/1972,Centre-Forward,Retired,01/07/2008,free transfer,01/10/2007
14,14,14,28,28,28,28,28,SV Zulte Waregem,Sylvio Breleur,13/10/1978,Centre-Forward,Retired,01/07/2017,free transfer,01/07/2015
15,15,15,34,34,34,34,34,SV Zulte Waregem,Stijn Meert,06/04/1978,Left Midfield,Retired,01/07/2013,?,01/07/2012
16,16,16,35,35,35,35,35,SV Zulte Waregem,Tim Matthys,23/12/1983,Right Midfield,SK Munkzwalm,01/07/2019,?,01/07/2014
17,17,17,36,36,36,36,36,SV Zulte Waregem,Nathan D'Haemers,26/01/1978,Right Midfield,Retired,29/09/2016,?,01/07/2014
18,18,18,37,37,37,37,37,SV Zulte Waregem,Jonas Vandermarliere,07/03/1986,Central Midfield,Sassport Boezinge,01/07/2020,free transfer,01/07/2017
19,19,19,38,38,38,38,38,SV Zulte Waregem,Tony Sergeant,06/06/1977,Central Midfield,Retired,01/07/2012,?,01/01/2008
20,20,20,39,39,39,39,39,SV Zulte Waregem,Ludwin Van Nieuwenhuyze,25/02/1978,Defensive Midfield,Retired,01/07/2014,free transfer,01/07/2011
21,21,21,42,42,42,42,42,SV Zulte Waregem,Stijn Minne,29/06/1978,Right-Back,Retired,01/07/2020,free transfer,01/07/2016
22,22,22,44,44,44,44,44,SV Zulte Waregem,Guy Veldeman,14/12/1978,Left-Back,Retired,01/07/2014,?,01/07/2012
