teams,playerprofile,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate,AgeNow,yearSinceRetirement,retirementAge
KSV Roeselare (- 2020),Christophe Lauwers,17/09/1972,Centre-Forward,Retired,01/07/2010,?,01/07/2007,50,12,38
KSV Roeselare (- 2020),Sébastien Dufoor,07/07/1981,Centre-Forward,KVK Wemmel,01/07/2018,free transfer,01/07/2015,41,4,37
KSV Roeselare (- 2020),Wagneau Eloi,11/09/1973,Centre-Forward,Retired,01/07/2007,?,01/07/2005,49,15,34
KSV Roeselare (- 2020),Bas Vervaeke,13/11/1983,Attacking Midfield,Retired,01/07/2015,?,01/07/2014,39,7,32
KSV Roeselare (- 2020),Jamaïque Vandamme,01/08/1985,Attacking Midfield,Retired,01/07/2020,free transfer,13/07/2019,37,2,35
KSV Roeselare (- 2020),Koen De Vleeschauwer,12/05/1971,Right Midfield,Retired,01/10/2009,free transfer,01/07/2008,51,13,38
KSV Roeselare (- 2020),Rocky Peeters,18/08/1979,Central Midfield,Retired,01/07/2018,free transfer,01/07/2015,43,4,39
KSV Roeselare (- 2020),Frédéric Vanderbiest,10/10/1977,Defensive Midfield,Retired,01/07/2011,?,01/07/2009,45,11,34
KSV Roeselare (- 2020),Daan Vaesen,11/07/1981,Defensive Midfield,Retired,30/08/2016,free transfer,01/07/2015,41,6,35
KSV Roeselare (- 2020),Martijn Monteyne,12/11/1984,Right-Back,Retired,01/07/2021,free transfer,21/07/2018,38,1,37
KSV Roeselare (- 2020),Björn De Coninck,20/07/1977,Left-Back,Retired,01/07/2009,free transfer,01/07/2008,45,13,32
KSV Roeselare (- 2020),Wouter Biebauw,21/05/1984,Goalkeeper,Retired,01/07/2022,free transfer,23/09/2020,38,0,38
KSV Roeselare (- 2020),Jurgen Sierens,10/04/1976,Goalkeeper,Retired,01/07/2012,-,01/07/2011,46,10,36
SV Zulte Waregem,Ibrahim Tankary,24/03/1972,Centre-Forward,Retired,01/07/2008,free transfer,01/10/2007,50,14,36
SV Zulte Waregem,Sylvio Breleur,13/10/1978,Centre-Forward,Retired,01/07/2017,free transfer,01/07/2015,44,5,39
SV Zulte Waregem,Stijn Meert,06/04/1978,Left Midfield,Retired,01/07/2013,?,01/07/2012,44,9,35
SV Zulte Waregem,Tim Matthys,23/12/1983,Right Midfield,SK Munkzwalm,01/07/2019,?,01/07/2014,38,3,35
SV Zulte Waregem,Nathan D'Haemers,26/01/1978,Right Midfield,Retired,29/09/2016,?,01/07/2014,44,6,38
SV Zulte Waregem,Jonas Vandermarliere,07/03/1986,Central Midfield,Sassport Boezinge,01/07/2020,free transfer,01/07/2017,36,2,34
SV Zulte Waregem,Tony Sergeant,06/06/1977,Central Midfield,Retired,01/07/2012,?,01/01/2008,45,10,35
SV Zulte Waregem,Ludwin Van Nieuwenhuyze,25/02/1978,Defensive Midfield,Retired,01/07/2014,free transfer,01/07/2011,44,8,36
SV Zulte Waregem,Stijn Minne,29/06/1978,Right-Back,Retired,01/07/2020,free transfer,01/07/2016,44,2,42
SV Zulte Waregem,Guy Veldeman,14/12/1978,Left-Back,Retired,01/07/2014,?,01/07/2012,43,8,35
SV Zulte Waregem,Stefan Leleu,28/02/1970,Centre-Back,Retired,01/07/2008,free transfer,01/07/2007,52,14,38
SV Zulte Waregem,Tjörven De Brul,22/06/1973,Centre-Back,Retired,13/10/2011,free transfer,01/07/2009,49,11,38
