playerprofile,position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam
Christophe Lauwers,Centre-Forward,Retired,?,38,3
Sébastien Dufoor,Centre-Forward,KVK Wemmel,free transfer,37,3
Wagneau Eloi,Centre-Forward,Retired,?,34,2
Bas Vervaeke,Attacking Midfield,Retired,?,32,1
Jamaïque Vandamme,Attacking Midfield,Retired,free transfer,35,1
Koen De Vleeschauwer,Right Midfield,Retired,free transfer,38,1
Rocky Peeters,Central Midfield,Retired,free transfer,39,3
Frédéric Vanderbiest,Defensive Midfield,Retired,?,34,2
Daan Vaesen,Defensive Midfield,Retired,free transfer,35,1
Martijn Monteyne,Right-Back,Retired,free transfer,37,3
Björn De Coninck,Left-Back,Retired,free transfer,32,1
Wouter Biebauw,Goalkeeper,Retired,free transfer,38,2
Jurgen Sierens,Goalkeeper,Retired,-,36,1
Ibrahim Tankary,Centre-Forward,Retired,free transfer,36,1
Sylvio Breleur,Centre-Forward,Retired,free transfer,39,2
Stijn Meert,Left Midfield,Retired,?,35,1
Tim Matthys,Right Midfield,SK Munkzwalm,?,35,5
Nathan D'Haemers,Right Midfield,Retired,?,38,2
Jonas Vandermarliere,Central Midfield,Sassport Boezinge,free transfer,34,3
Tony Sergeant,Central Midfield,Retired,?,35,4
Ludwin Van Nieuwenhuyze,Defensive Midfield,Retired,free transfer,36,3
Stijn Minne,Right-Back,Retired,free transfer,42,4
Guy Veldeman,Left-Back,Retired,?,35,2
Stefan Leleu,Centre-Back,Retired,free transfer,38,1
Tjörven De Brul,Centre-Back,Retired,free transfer,38,2
Sven Van Ryckeghem,Goalkeeper,Unknown,free transfer,30,1
Björn Sengier,Goalkeeper,Retired,free transfer,37,2
Pieter Merlier,Goalkeeper,SK Berlare,?,39,4
Tiago Bezerra,Centre-Forward,Al-Orobah FC,free transfer,35,1
Stavros Glouftsis,Centre-Forward,Rapid Leest,-,40,2
Benoît Ladrière,Attacking Midfield,RCS Braine,free transfer,33,1
Julien Pinelli,Left Midfield,RC Villers,free transfer,32,3
Jaroslaw Mazurkiewicz,Right Midfield,Retired,free transfer,34,2
Fadhil Mohamed Brahami,Right Midfield,Retired,?,34,0
Bob Cousin,Central Midfield,Retired,?,34,2
Trésor Luntala,Defensive Midfield,Retired,-,40,10
Geraldo Sprio,midfield,Retired,?,28,3
Alexandre Potier,midfield,AS Fontainoise,?,31,4
Martin Ekani,Right-Back,Retired,free transfer,38,2
Yannick Vervalle,Left-Back,KV Zuun,-,37,1
Quantin Durieux,Centre-Back,Without Club,?,34,6
Alexandre Teklak,Centre-Back,Retired,free transfer,37,2
Benoit Daniel,Goalkeeper,Retired,free transfer,33,4
Asmir Begovic,Goalkeeper,Everton,End of loan,34,1
Michaël Cordier,Goalkeeper,FC Havré,free transfer,36,2
Ibad Muhamadu,Centre-Forward,Retired,free transfer,31,2
Paulus Roiha,Centre-Forward,Retired,-,32,1
Dieter Dekelver,Centre-Forward,Retired,free transfer,34,1
Darko Pivaljevic,Centre-Forward,Retired,-,39,1
Vit Valenta,Attacking Midfield,Retired,?,35,0
Frederik Boi,Right Midfield,Retired,free transfer,37,1
Matthias Feys,Central Midfield,SV Diksmuide,free transfer,37,5
Harold Meyssen,Central Midfield,Retired,free transfer,39,2
Christophe Grondin,Defensive Midfield,Tournefeuille,?,33,1
Milenko Milosevic,Defensive Midfield,Retired,free transfer,42,5
Ewout Denys,midfield,Rapid Leest,-,33,1
Yannick Euvrard,Right-Back,KRC Waregem,?,33,1
Tom Van Mol,Left-Back,Retired,free transfer,38,2
Bram Vandenbussche,Centre-Back,SK Eernegem,free transfer,39,6
Anthony Portier,Centre-Back,Retired,free transfer,36,2
Jimmy De Wulf,Centre-Back,Retired,?,33,1
Denis Viane,Centre-Back,Retired,free transfer,35,1
Francky Vandendriessche,Goalkeeper,Retired,free transfer,36,2
Jurgen Rutten,Centre-Forward,Retired,free transfer,28,2
Brendon Santalab,Centre-Forward,Without Club,free transfer,38,1
Désiré M'Bonabucya,Centre-Forward,Retired,?,31,1
Tamás Hajnal,Attacking Midfield,Retired,-,37,3
Kris Buvens,Right Midfield,Retired,free transfer,33,1
Dimitri De Condé,Central Midfield,Retired,free transfer,36,0
Jari Niemi,Central Midfield,Retired,?,36,2
Jonas Bogaerts,Defensive Midfield,KVK Tienen,free transfer,31,2
Peter Delorge,Defensive Midfield,Retired,free transfer,35,2
Sander Debroux,midfield,Retired,free transfer,32,3
Kristof Lardenoit,Centre-Back,Retired,free transfer,31,1
Jeroen Simaeys,Centre-Back,Retired,free transfer,32,1
Nicky Hayen,Centre-Back,Retired,?,34,1
Simon Mignolet,Goalkeeper,Club Brugge,€10.60m,31,6
Dusan Belic,Goalkeeper,Retired,free transfer,36,1
Bart Deelkens,Goalkeeper,Retired,?,40,2
Moussa Sanogo,Centre-Forward,Retired,-,35,1
Igor de Camargo,Centre-Forward,Without Club,?,39,0
Kristof Snelders,Second Striker,Retired,free transfer,34,3
Musaba Selemani,Left Winger,Retired,free transfer,31,5
Gertjan Martens,Attacking Midfield,KAV Dendermonde,free transfer,32,1
Sofiane Zaaboub,Left Midfield,Retired,-,30,1
Davy Theunis,Right Midfield,Retired,free transfer,30,0
Kristoffer Andersen,Central Midfield,Retired,-,33,6
Richard Culek,Defensive Midfield,Retired,free transfer,40,4
Ibrahim Kargbo,Defensive Midfield,Retired,free transfer,37,3
Patricio Bengui,Right-Back,Retired,free transfer,33,2
Christ Bruno,Left-Back,Retired,free transfer,37,2
Cédric Dellevoet,Centre-Back,SK Londerzeel,free transfer,23,2
Michael Jonckheere,Centre-Back,RFC Genappe,free transfer,35,2
Zoltán Pető,Centre-Back,Retired,free transfer,40,3
Steve Colpaert,Centre-Back,Retired,free transfer,35,1
Istvan Dudas,Goalkeeper,Retired,free transfer,35,2
Tailson,Centre-Forward,Retired,?,34,0
Marcin Zewlakow,Centre-Forward,Retired,free transfer,37,1
Adnan Custovic,Right Winger,Retired,?,36,2
Paco Sanchez,Central Midfield,Retired,-,28,0
Steve Dugardein,Defensive Midfield,Retired,-,38,3
Geoffray Toyes,Right-Back,Retired,free transfer,36,1
David Grondin,Left-Back,Retired,-,33,2
Mustapha Oussalah,Left-Back,Retired,-,37,1
Suad Filekovic,Left-Back,Retired,free transfer,37,2
Benjamin Delacourt,Centre-Back,Tourcoing FC,free transfer,36,1
Olivier Besengez,Centre-Back,Retired,-,36,17
Jean-Philippe Charlet,Centre-Back,Retired,free transfer,31,1
Kevin Hatchi,Centre-Back,Retired,free transfer,35,1
Daan Van Gijseghem,Centre-Back,Without Club,free transfer,32,4
Christophe Martin,Goalkeeper,Retired,free transfer,41,8
Joseph Akpala,Centre-Forward,Retired,free transfer,35,0
Izzet Akgül,Centre-Forward,Retired,free transfer,36,1
Toni Brogno,Second Striker,Retired,free transfer,36,1
Sergiy Serebrennikov,Right Winger,Retired,free transfer,38,3
Ousmane Bangoura,attack,Retired,free transfer,26,0
Orlando,attack,Retired,-,35,3
Fabien Camus,Attacking Midfield,Retired,?,34,0
Nasredine Kraouche,Attacking Midfield,Retired,?,29,1
Grégory Christ,Left Midfield,CO Trivières,free transfer,40,2
Thibaut Detal,Central Midfield,Assesse,-,29,0
Abdelmajid Oulmers,midfield,Retired,-,34,0
Frank Defays,Right-Back,Retired,free transfer,36,1
Velimir Varga,Left-Back,Retired,-,34,0
Dante,Centre-Back,OGC Nice,€4.50m,33,1
Laurent Ciman,Centre-Back,Retired,free transfer,36,2
Mahamoudou Kéré,Centre-Back,Retired,?,33,1
Damien Lahaye,Goalkeeper,RUS Binche,free transfer,38,1
Bertrand Laquait,Goalkeeper,Retired,free transfer,38,1
Dragan Mrdja,Centre-Forward,Retired,?,34,0
Goran Tomic,Centre-Forward,Retired,free transfer,30,1
Krunoslav Lovrek,Centre-Forward,Tehnicar 1974,?,37,0
Tony Vairelles,Centre-Forward,Retired,free transfer,38,2
Jurgen Raeymaeckers,Right Winger,Greunsj. Vossem,?,32,2
Goran Mujanovic,Right Winger,Trnje Trnovec,free transfer,34,1
Adolph Tohoua,Left Winger,UCE Liège,free transfer,35,1
Daniel Cruz,Attacking Midfield,Retired,free transfer,32,1
Karel Snoeckx,Right Midfield,Retired,free transfer,38,1
Kristof Imschoot,Central Midfield,Retired,-,35,2
Marko Andjic,Defensive Midfield,FK Backa,free transfer,37,1
Ognjen Vukojevic,Defensive Midfield,Retired,free transfer,33,2
Hasan Kacic,Left-Back,Retired,free transfer,39,4
Michael Nnaji,Centre-Back,Unknown,free transfer,37,1
Tim Dreesen,Centre-Back,KSAV St.Dimpna,free transfer,33,3
