,Unnamed: 0,teams,playerprofile,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
0,0,KSV Roeselare (- 2020),Emmanuel Coquelet,02/27/1975,Centre-Forward,Retired,,free transfer,07/01/2009
1,1,KSV Roeselare (- 2020),Christophe Lauwers,09/17/1972,Centre-Forward,Retired,07/01/2010,?,07/01/2007
2,2,KSV Roeselare (- 2020),Sanharib Malki,03/01/1984,Centre-Forward,Without Club,,-,01/04/2020
3,3,KSV Roeselare (- 2020),Sébastien Dufoor,07/07/1981,Centre-Forward,KVK Wemmel,07/01/2018,free transfer,07/01/2015
4,4,KSV Roeselare (- 2020),Wagneau Eloi,09/11/1973,Centre-Forward,Retired,07/01/2007,?,07/01/2005
5,5,KSV Roeselare (- 2020),Bas Vervaeke,11/13/1983,Attacking Midfield,Retired,07/01/2015,?,07/01/2014
6,6,KSV Roeselare (- 2020),Bart Vlaeminck,05/29/1984,Attacking Midfield,Retired,,free transfer,07/01/2011
7,7,KSV Roeselare (- 2020),Jamaïque Vandamme,08/01/1985,Attacking Midfield,Retired,07/01/2020,free transfer,07/13/2019
8,8,KSV Roeselare (- 2020),Abdoulaye Soumaré,11/07/1980,Left Midfield,Retired,,?,07/01/2014
9,9,KSV Roeselare (- 2020),Koen De Vleeschauwer,05/12/1971,Right Midfield,Retired,10/01/2009,free transfer,07/01/2008
10,10,KSV Roeselare (- 2020),Rocky Peeters,08/18/1979,Central Midfield,Retired,07/01/2018,free transfer,07/01/2015
11,11,KSV Roeselare (- 2020),Éric Joly,10/06/1972,Central Midfield,Retired,,free transfer,08/31/2006
12,12,KSV Roeselare (- 2020),Steve Barbé,01/15/1979,Defensive Midfield,Retired,,End of loan,06/30/2009
13,13,KSV Roeselare (- 2020),Maxime Annys,07/24/1986,Defensive Midfield,Retired,,free transfer,07/01/2020
14,14,KSV Roeselare (- 2020),Frédéric Vanderbiest,10/10/1977,Defensive Midfield,Retired,07/01/2011,?,07/01/2009
15,15,KSV Roeselare (- 2020),Björn Smits,07/28/1975,Defensive Midfield,Retired,,free transfer,07/01/2010
16,16,KSV Roeselare (- 2020),Daan Vaesen,07/11/1981,Defensive Midfield,Retired,08/30/2016,free transfer,07/01/2015
17,17,KSV Roeselare (- 2020),Sergio van Kanten,07/02/1984,midfield,Retired,,?,02/05/2016
18,18,KSV Roeselare (- 2020),Chemcedine El Araichi,05/18/1981,Right-Back,Retired,,free transfer,07/01/2015
19,19,KSV Roeselare (- 2020),Martijn Monteyne,11/12/1984,Right-Back,Retired,07/01/2021,free transfer,07/21/2018
20,20,KSV Roeselare (- 2020),Björn De Coninck,07/20/1977,Left-Back,Retired,07/01/2009,free transfer,07/01/2008
21,21,KSV Roeselare (- 2020),Cyril Detremmerie,06/20/1985,Centre-Back,,,free transfer,07/01/2009
22,22,KSV Roeselare (- 2020),James Lahousse,11/09/1982,Centre-Back,Retired,,?,07/01/2012
23,23,KSV Roeselare (- 2020),Christian Bouckenooghe,02/07/1977,Defender,Retired,,?,07/01/2008
24,24,KSV Roeselare (- 2020),Wouter Biebauw,05/21/1984,Goalkeeper,Retired,07/01/2022,free transfer,09/23/2020
25,25,KSV Roeselare (- 2020),Jurgen Sierens,04/10/1976,Goalkeeper,Retired,07/01/2012,-,07/01/2011
26,26,SV Zulte Waregem,Frederik D'Hollander,05/20/1976,Centre-Forward,Retired,,free transfer,01/01/2010
27,27,SV Zulte Waregem,Ibrahim Tankary,03/24/1972,Centre-Forward,Retired,07/01/2008,free transfer,10/01/2007
28,28,SV Zulte Waregem,Sylvio Breleur,10/13/1978,Centre-Forward,Retired,07/01/2017,free transfer,07/01/2015
29,29,SV Zulte Waregem,Gunter Thiebaut,01/12/1977,Centre-Forward,Retired,,-,07/01/2015
30,30,SV Zulte Waregem,Ibrahim Salou,05/29/1979,Centre-Forward,Retired,,-,09/16/2016
31,31,SV Zulte Waregem,Wouter Vandendriessche,06/27/1984,attack,Retired,,?,07/01/2011
32,32,SV Zulte Waregem,Lander Van Steenbrugghe,11/27/1986,Attacking Midfield,Unknown,,free transfer,07/01/2014
33,33,SV Zulte Waregem,Jo Vermast,09/29/1981,Left Midfield,Retired,,-,12/08/2010
34,34,SV Zulte Waregem,Stijn Meert,04/06/1978,Left Midfield,Retired,07/01/2013,?,07/01/2012
35,35,SV Zulte Waregem,Tim Matthys,12/23/1983,Right Midfield,SK Munkzwalm,07/01/2019,?,07/01/2014
36,36,SV Zulte Waregem,Nathan D'Haemers,01/26/1978,Right Midfield,Retired,09/29/2016,?,07/01/2014
37,37,SV Zulte Waregem,Jonas Vandermarliere,03/07/1986,Central Midfield,Sassport Boezinge,07/01/2020,free transfer,07/01/2017
38,38,SV Zulte Waregem,Tony Sergeant,06/06/1977,Central Midfield,Retired,07/01/2012,?,01/01/2008
39,39,SV Zulte Waregem,Ludwin Van Nieuwenhuyze,02/25/1978,Defensive Midfield,Retired,07/01/2014,free transfer,07/01/2011
40,40,SV Zulte Waregem,Mathieu Verschuère,02/08/1972,Defensive Midfield,Retired,,free transfer,07/01/2008
41,41,SV Zulte Waregem,Michaël Wiggers,02/08/1980,Right-Back,Retired,,?,07/01/2014
42,42,SV Zulte Waregem,Stijn Minne,06/29/1978,Right-Back,Retired,07/01/2020,free transfer,07/01/2016
43,43,SV Zulte Waregem,Frédéric Dupré,05/12/1979,Right-Back,Retired,,?,01/01/2008
44,44,SV Zulte Waregem,Guy Veldeman,12/14/1978,Left-Back,Retired,07/01/2014,?,07/01/2012
45,45,SV Zulte Waregem,Philippe Buysens,02/16/1985,Centre-Back,Unknown,,free transfer,07/01/2014
46,46,SV Zulte Waregem,Frédéric Dindeleux,01/16/1974,Centre-Back,Retired,,free transfer,07/01/2009
47,47,SV Zulte Waregem,Stefan Leleu,02/28/1970,Centre-Back,Retired,07/01/2008,free transfer,07/01/2007
48,48,SV Zulte Waregem,Tjörven De Brul,06/22/1973,Centre-Back,Retired,10/13/2011,free transfer,07/01/2009
49,49,SV Zulte Waregem,Sven Van Ryckeghem,03/18/1985,Goalkeeper,Unknown,07/01/2015,free transfer,07/01/2014
50,50,SV Zulte Waregem,Björn Sengier,07/12/1979,Goalkeeper,Retired,07/01/2016,free transfer,08/10/2014
51,51,SV Zulte Waregem,Pieter Merlier,03/29/1979,Goalkeeper,SK Berlare,07/23/2018,?,07/01/2014
52,52,RAA La Louviere (- 2009),Tiago Bezerra,02/17/1987,Centre-Forward,Al-Orobah FC,07/07/2022,free transfer,09/08/2021
53,53,RAA La Louviere (- 2009),Rony Baynon,06/21/1987,Centre-Forward,Retired,,free transfer,07/01/2013
54,54,RAA La Louviere (- 2009),Stavros Glouftsis,10/20/1981,Centre-Forward,Rapid Leest,08/31/2021,-,08/31/2019
55,55,RAA La Louviere (- 2009),Frederic Bosak,07/17/1986,Centre-Forward,Unknown,,free transfer,07/01/2012
