,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,teams,playerprofile,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
0,0,0,0,KSV Roeselare (- 2020),Emmanuel Coquelet,27/02/1975,Centre-Forward,Retired,,free transfer,01/07/2009
1,1,1,1,KSV Roeselare (- 2020),Christophe Lauwers,17/09/1972,Centre-Forward,Retired,07/01/2010,?,01/07/2007
2,2,2,2,KSV Roeselare (- 2020),Sanharib Malki,01/03/1984,Centre-Forward,Without Club,,-,04/01/2020
3,3,3,3,KSV Roeselare (- 2020),Sébastien Dufoor,07/07/1981,Centre-Forward,KVK Wemmel,07/01/2018,free transfer,01/07/2015
4,4,4,4,KSV Roeselare (- 2020),Wagneau Eloi,11/09/1973,Centre-Forward,Retired,07/01/2007,?,01/07/2005
5,5,5,5,KSV Roeselare (- 2020),Bas Vervaeke,13/11/1983,Attacking Midfield,Retired,07/01/2015,?,01/07/2014
6,6,6,6,KSV Roeselare (- 2020),Bart Vlaeminck,29/05/1984,Attacking Midfield,Retired,,free transfer,01/07/2011
7,7,7,7,KSV Roeselare (- 2020),Jamaïque Vandamme,01/08/1985,Attacking Midfield,Retired,07/01/2020,free transfer,13/07/2019
8,8,8,8,KSV Roeselare (- 2020),Abdoulaye Soumaré,07/11/1980,Left Midfield,Retired,,?,01/07/2014
9,9,9,9,KSV Roeselare (- 2020),Koen De Vleeschauwer,12/05/1971,Right Midfield,Retired,10/01/2009,free transfer,01/07/2008
10,10,10,10,KSV Roeselare (- 2020),Rocky Peeters,18/08/1979,Central Midfield,Retired,07/01/2018,free transfer,01/07/2015
11,11,11,11,KSV Roeselare (- 2020),Éric Joly,06/10/1972,Central Midfield,Retired,,free transfer,31/08/2006
12,12,12,12,KSV Roeselare (- 2020),Steve Barbé,15/01/1979,Defensive Midfield,Retired,,End of loan,30/06/2009
13,13,13,13,KSV Roeselare (- 2020),Maxime Annys,24/07/1986,Defensive Midfield,Retired,,free transfer,01/07/2020
14,14,14,14,KSV Roeselare (- 2020),Frédéric Vanderbiest,10/10/1977,Defensive Midfield,Retired,07/01/2011,?,01/07/2009
15,15,15,15,KSV Roeselare (- 2020),Björn Smits,28/07/1975,Defensive Midfield,Retired,,free transfer,01/07/2010
16,16,16,16,KSV Roeselare (- 2020),Daan Vaesen,11/07/1981,Defensive Midfield,Retired,08/30/2016,free transfer,01/07/2015
17,17,17,17,KSV Roeselare (- 2020),Sergio van Kanten,02/07/1984,midfield,Retired,,?,05/02/2016
18,18,18,18,KSV Roeselare (- 2020),Chemcedine El Araichi,18/05/1981,Right-Back,Retired,,free transfer,01/07/2015
19,19,19,19,KSV Roeselare (- 2020),Martijn Monteyne,12/11/1984,Right-Back,Retired,07/01/2021,free transfer,21/07/2018
