web-scraper-order,web-scraper-start-url,teams,teams-href,playerprofile,playerprofile-href,playername,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
1666700177-581,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1/plus/?saison_id=2005,KSV Roeselare (- 2020),https://www.transfermarkt.com/ksv-roeselare/startseite/verein/2977/saison_id/2005,Emmanuel Coquelet,https://www.transfermarkt.com/emmanuel-coquelet/profil/spieler/20237,Emmanuel Coquelet,"Feb 27, 1975                                                                    (47)",Centre-Forward,Retired,,free transfer,"Jul 1, 2009"
1666700179-582,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1/plus/?saison_id=2005,KSV Roeselare (- 2020),https://www.transfermarkt.com/ksv-roeselare/startseite/verein/2977/saison_id/2005,Christophe Lauwers,https://www.transfermarkt.com/christophe-lauwers/profil/spieler/18412,Christophe Lauwers,"Sep 17, 1972                                                                    (50)",Centre-Forward,Retired,"Jul 1, 2010",?,"Jul 1, 2007"
1666700182-583,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1/plus/?saison_id=2005,KSV Roeselare (- 2020),https://www.transfermarkt.com/ksv-roeselare/startseite/verein/2977/saison_id/2005,Sanharib Malki,https://www.transfermarkt.com/sanharib-malki/profil/spieler/20351,Sanharib Malki,"Mar 1, 1984                                                                    (38)",Centre-Forward,Without Club,,-,"Jan 4, 2020"
1666700185-584,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1/plus/?saison_id=2005,KSV Roeselare (- 2020),https://www.transfermarkt.com/ksv-roeselare/startseite/verein/2977/saison_id/2005,Sébastien Dufoor,https://www.transfermarkt.com/sebastien-dufoor/profil/spieler/32384,Sébastien Dufoor,"Jul 7, 1981                                                                    (41)",Centre-Forward,KVK Wemmel,"Jul 1, 2018",free transfer,"Jul 1, 2015"
1666700187-585,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1/plus/?saison_id=2005,KSV Roeselare (- 2020),https://www.transfermarkt.com/ksv-roeselare/startseite/verein/2977/saison_id/2005,Wagneau Eloi,https://www.transfermarkt.com/wagneau-eloi/profil/spieler/16205,Wagneau Eloi,"Sep 11, 1973                                                                    (49)",Centre-Forward,Retired,"Jul 1, 2007",?,"Jul 1, 2005"
1666700190-586,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1/plus/?saison_id=2005,KSV Roeselare (- 2020),https://www.transfermarkt.com/ksv-roeselare/startseite/verein/2977/saison_id/2005,Bas Vervaeke,https://www.transfermarkt.com/bas-vervaeke/profil/spieler/19933,Bas Vervaeke,"Nov 13, 1983                                                                    (38)",Attacking Midfield,Retired,"Jul 1, 2015",?,"Jul 1, 2014"
1666700192-587,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1/plus/?saison_id=2005,KSV Roeselare (- 2020),https://www.transfermarkt.com/ksv-roeselare/startseite/verein/2977/saison_id/2005,Bart Vlaeminck,https://www.transfermarkt.com/bart-vlaeminck/profil/spieler/29357,Bart Vlaeminck,"May 29, 1984                                                                    (38)",Attacking Midfield,Retired,,free transfer,"Jul 1, 2011"
1666700196-588,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1/plus/?saison_id=2005,KSV Roeselare (- 2020),https://www.transfermarkt.com/ksv-roeselare/startseite/verein/2977/saison_id/2005,Jamaïque Vandamme,https://www.transfermarkt.com/jamaique-vandamme/profil/spieler/34155,Jamaïque Vandamme,"Aug 1, 1985                                                                    (37)",Attacking Midfield,Retired,"Jul 1, 2020",free transfer,"Jul 13, 2019"
1666700198-589,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1/plus/?saison_id=2005,KSV Roeselare (- 2020),https://www.transfermarkt.com/ksv-roeselare/startseite/verein/2977/saison_id/2005,Abdoulaye Soumaré,https://www.transfermarkt.com/abdoulaye-soumare/profil/spieler/18305,Abdoulaye Soumaré,"Nov 7, 1980                                                                    (41)",Left Midfield,Retired,,?,"Jul 1, 2014"
1666700200-590,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1/plus/?saison_id=2005,KSV Roeselare (- 2020),https://www.transfermarkt.com/ksv-roeselare/startseite/verein/2977/saison_id/2005,Koen De Vleeschauwer,https://www.transfermarkt.com/koen-de-vleeschauwer/profil/spieler/13295,Koen De Vleeschauwer,"May 12, 1971                                                                    (51)",Right Midfield,Retired,"Oct 1, 2009",free transfer,"Jul 1, 2008"
