web-scraper-order,web-scraper-start-url,teams,teams-href,playerprofile,playerprofile-href,playername,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
1666630853-1757,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Daryl Murphy,https://www.transfermarkt.com/daryl-murphy/profil/spieler/31312,Daryl Murphy,"Mar 15, 1983                                                                    (39)",Centre-Forward,Retired,"Jan 1, 2022",free transfer,"Aug 1, 2020"
1666630858-1760,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Chris Brown,https://www.transfermarkt.com/chris-brown/profil/spieler/13240,Chris Brown,"Dec 11, 1984                                                                    (37)",Centre-Forward,Retired,,free transfer,"Aug 5, 2016"
1666630864-1763,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Kevin Kyle,https://www.transfermarkt.com/kevin-kyle/profil/spieler/4121,Kevin Kyle,"Jun 7, 1981                                                                    (41)",Centre-Forward,Retired,"Jul 1, 2014",-,"Sep 27, 2013"
1666630870-1766,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Stephen Elliott,https://www.transfermarkt.com/stephen-elliott/profil/spieler/17890,Stephen Elliott,"Jan 6, 1984                                                                    (38)",Centre-Forward,Retired,,free transfer,"Nov 16, 2017"
1666630875-1769,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Andy Gray,https://www.transfermarkt.com/andy-gray/profil/spieler/13575,Andy Gray,"Nov 15, 1977                                                                    (44)",Centre-Forward,Retired,,free transfer,"Jan 9, 2013"
1666630881-1773,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Anthony Le Tallec,https://www.transfermarkt.com/anthony-le-tallec/profil/spieler/4217,Anthony Le Tallec,"Oct 3, 1984                                                                    (38)",Centre-Forward,Retired,"Jul 1, 2021",free transfer,"Sep 2, 2019"
1666630887-1777,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Jon Stead,https://www.transfermarkt.com/jon-stead/profil/spieler/16107,Jon Stead,"Apr 7, 1983                                                                    (39)",Centre-Forward,Retired,"May 8, 2021",free transfer,"Jul 1, 2019"
1666630893-1780,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Liam Lawrence,https://www.transfermarkt.com/liam-lawrence/profil/spieler/18870,Liam Lawrence,"Dec 14, 1981                                                                    (40)",Attacking Midfield,Retired,"Dec 31, 2017",-,"Aug 4, 2017"
1666630898-1783,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Andy Welsh,https://www.transfermarkt.com/andy-welsh/profil/spieler/34515,Andy Welsh,"Jan 24, 1983                                                                    (39)",Left Midfield,Retired,"Jul 1, 2019",free transfer,"Jul 1, 2018"
1666630904-1786,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Martin Woods,https://www.transfermarkt.com/martin-woods/profil/spieler/25389,Martin Woods,"Jan 1, 1986                                                                    (36)",Central Midfield,Brackley,"Oct 7, 2022",-,"Jul 1, 2022"
1666630910-1789,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Grant Leadbitter,https://www.transfermarkt.com/grant-leadbitter/profil/spieler/13796,Grant Leadbitter,"Jan 7, 1986                                                                    (36)",Central Midfield,Retired,"Jul 1, 2021",free transfer,"Jan 29, 2019"
1666630915-1792,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Carl Robinson,https://www.transfermarkt.com/carl-robinson/profil/spieler/9210,Carl Robinson,"Oct 13, 1976                                                                    (46)",Central Midfield,Retired,"Jan 1, 2012",free transfer,"Mar 1, 2010"
1666630920-1795,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Tommy Miller,https://www.transfermarkt.com/tommy-miller/profil/spieler/13251,Tommy Miller,"Jan 8, 1979                                                                    (43)",Central Midfield,Retired,"Nov 17, 2015",-,"Oct 17, 2015"
1666630925-1798,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Dean Whitehead,https://www.transfermarkt.com/dean-whitehead/profil/spieler/13683,Dean Whitehead,"Jan 12, 1982                                                                    (40)",Central Midfield,Retired,"Jul 1, 2018",free transfer,"Jul 1, 2015"
1666630931-1802,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Rory Delap,https://www.transfermarkt.com/rory-delap/profil/spieler/4112,Rory Delap,"Jul 6, 1976                                                                    (46)",Central Midfield,Retired,"Dec 16, 2013",free transfer,"Jul 18, 2013"
1666630941-1806,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Julio Arca,https://www.transfermarkt.com/julio-arca/profil/spieler/3280,Julio Arca,"Jan 31, 1981                                                                    (41)",Central Midfield,Retired,,-,"Sep 4, 2015"
1666630946-1809,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Justin Hoyte,https://www.transfermarkt.com/justin-hoyte/profil/spieler/7335,"#32                    
                                            Justin Hoyte","Nov 20, 1984                                                                    (37)",Right-Back,Miami Beach CF,"Jan 1, 2020",-,"Mar 29, 2017"
1666630952-1810,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Stephen Wright,https://www.transfermarkt.com/stephen-wright/profil/spieler/4126,Stephen Wright,"Feb 8, 1980                                                                    (42)",Right-Back,Retired,"Jul 1, 2017",free transfer,"Jul 1, 2016"
1666630957-1813,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Daniel Smith,https://www.transfermarkt.com/daniel-smith/profil/spieler/38099,Daniel Smith,"Oct 5, 1986                                                                    (36)",Left-Back,Holland PH SC,"Feb 19, 2014",-,"Jan 31, 2014"
1666630962-1816,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,George McCartney,https://www.transfermarkt.com/george-mccartney/profil/spieler/3775,George McCartney,"Apr 29, 1981                                                                    (41)",Left-Back,Retired,"Jul 1, 2014",free transfer,"Jul 1, 2012"
1666630968-1819,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Danny Collins,https://www.transfermarkt.com/danny-collins/profil/spieler/26183,Danny Collins,"Aug 6, 1980                                                                    (42)",Centre-Back,Retired,"Jul 1, 2019",-,"Sep 12, 2016"
1666630973-1823,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Nyron Nosworthy,https://www.transfermarkt.com/nyron-nosworthy/profil/spieler/14054,Nyron Nosworthy,"Oct 11, 1980                                                                    (42)",Centre-Back,Retired,"Feb 8, 2016",free transfer,"Jul 1, 2015"
1666630979-1826,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Neill Collins,https://www.transfermarkt.com/neill-collins/profil/spieler/22162,Neill Collins,"Sep 2, 1983                                                                    (39)",Centre-Back,Retired,"May 18, 2018",free transfer,"Mar 11, 2016"
1666630984-1828,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Alan Stubbs,https://www.transfermarkt.com/alan-stubbs/profil/spieler/3472,Alan Stubbs,"Oct 6, 1971                                                                    (51)",Centre-Back,Retired,"Aug 1, 2008",free transfer,"Jan 1, 2008"
1666630994-1831,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Christian Bassila,https://www.transfermarkt.com/christian-bassila/profil/spieler/3922,Christian Bassila,"Oct 5, 1977                                                                    (45)",Centre-Back,Retired,"Jul 1, 2011",free transfer,"Sep 1, 2008"
1666631000-1836,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Steven Caldwell,https://www.transfermarkt.com/steven-caldwell/profil/spieler/3462,Steven Caldwell,"Sep 12, 1980                                                                    (42)",Centre-Back,Retired,"Jul 14, 2015",free transfer,"Jul 1, 2013"
1666631005-1839,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Gary Breen,https://www.transfermarkt.com/gary-breen/profil/spieler/3874,Gary Breen,"Dec 12, 1973                                                                    (48)",Centre-Back,Retired,"Jul 1, 2010",-,"Dec 1, 2008"
1666631012-1842,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Ben Alnwick,https://www.transfermarkt.com/ben-alnwick/profil/spieler/27036,Ben Alnwick,"Jan 1, 1987                                                                    (35)",Goalkeeper,Without Club,,free transfer,"Aug 31, 2016"
1666631016-1845,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Joe Murphy,https://www.transfermarkt.com/joe-murphy/profil/spieler/3655,"#13                    
                                            Joe Murphy","Aug 21, 1981                                                                    (41)",Goalkeeper,Tranmere Rovers,"Aug 22, 2020",free transfer,"Jul 4, 2019"
1666631024-1849,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2005,Kelvin Davis,https://www.transfermarkt.com/kelvin-davis/profil/spieler/13640,Kelvin Davis,"Sep 29, 1976                                                                    (46)",Goalkeeper,Retired,"Jul 1, 2016",€1.13m,"Jul 1, 2006"
1666631039-1854,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Wigan Athletic,https://www.transfermarkt.com/wigan-athletic/startseite/verein/1071/saison_id/2005,Neil Mellor,https://www.transfermarkt.com/neil-mellor/profil/spieler/3605,Neil Mellor,"Nov 4, 1982                                                                    (39)",Centre-Forward,Retired,"May 9, 2012",End of loan,"May 1, 2011"
1666631044-1858,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Wigan Athletic,https://www.transfermarkt.com/wigan-athletic/startseite/verein/1071/saison_id/2005,Jason Roberts,https://www.transfermarkt.com/jason-roberts/profil/spieler/3666,Jason Roberts,"Jan 25, 1978                                                                    (44)",Centre-Forward,Retired,"Mar 20, 2014",€595Th.,"Jan 1, 2012"
1666631050-1861,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Wigan Athletic,https://www.transfermarkt.com/wigan-athletic/startseite/verein/1071/saison_id/2005,Henri Camara,https://www.transfermarkt.com/henri-camara/profil/spieler/3900,Henri Camara,"May 10, 1977                                                                    (45)",Centre-Forward,Retired,"Aug 16, 2018",free transfer,"Jul 1, 2017"
1666631056-1864,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/plus/?saison_id=2005,Wigan Athletic,https://www.transfermarkt.com/wigan-athletic/startseite/verein/1071/saison_id/2005,Gary Teale,https://www.transfermarkt.com/gary-teale/profil/spieler/13543,Gary Teale,"Jul 21, 1978                                                                    (44)",Right Winger,Retired,"Jul 1, 2015",free transfer,"Jul 1, 2011"
