web-scraper-order,web-scraper-start-url,teams,teams-href,playerprofile,playerprofile-href,playername,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
1666715712-3162,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Dimitri Lesueur,https://www.transfermarkt.com/dimitri-lesueur/profil/spieler/44678,Dimitri Lesueur,"Jan 25, 1987                                                                    (35)",Centre-Forward,Bocognano,"Aug 1, 2022",-,"Jul 1, 2019"
1666715715-3163,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Édson Marcelo de Faria,https://www.transfermarkt.com/edson-marcelo-de-faria/profil/spieler/28540,Édson Marcelo de Faria,"Feb 8, 1979                                                                    (43)",Centre-Forward,Retired,,-,"Jan 1, 2012"
1666715718-3164,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Matthieu Scarpelli,https://www.transfermarkt.com/matthieu-scarpelli/profil/spieler/31769,Matthieu Scarpelli,"Jul 23, 1981                                                                    (41)",Centre-Forward,Retired,"Jul 1, 2017",free transfer,"Jul 1, 2015"
1666715720-3165,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Jean-Jacques Mandrichi,https://www.transfermarkt.com/jean-jacques-mandrichi/profil/spieler/31761,Jean-Jacques Mandrichi,"Jun 3, 1984                                                                    (38)",Centre-Forward,Vence,"Jul 1, 2020",free transfer,"Jul 1, 2019"
1666715723-3166,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Kaba Diawara,https://www.transfermarkt.com/kaba-diawara/profil/spieler/5571,Kaba Diawara,"Dec 16, 1975                                                                    (46)",Centre-Forward,Retired,"Jul 1, 2011",free transfer,"Jul 1, 2009"
1666715726-3167,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Rafik Saïfi,https://www.transfermarkt.com/rafik-saifi/profil/spieler/24114,Rafik Saïfi,"Feb 7, 1975                                                                    (47)",Centre-Forward,Retired,"Jul 1, 2012",-,"Nov 4, 2010"
1666715729-3168,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Lucas Pereira,https://www.transfermarkt.com/lucas-pereira/profil/spieler/17986,Lucas Pereira,"Feb 5, 1982",Centre-Forward,,,?,"Jul 1, 2011"
1666715731-3169,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Djamel Abdoun,https://www.transfermarkt.com/djamel-abdoun/profil/spieler/34226,Djamel Abdoun,"Feb 14, 1986                                                                    (36)",Right Winger,Retired,,free transfer,"Aug 5, 2015"
1666715734-3170,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Moussa N'Diaye,https://www.transfermarkt.com/moussa-ndiaye/profil/spieler/17690,Moussa N'Diaye,"Feb 20, 1979                                                                    (43)",Right Winger,Retired,"Jul 1, 2015",free transfer,"Dec 3, 2010"
1666715737-3171,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Xavier Bécas,https://www.transfermarkt.com/xavier-becas/profil/spieler/34230,Xavier Bécas,"May 31, 1979                                                                    (43)",attack,Retired,"Jul 1, 2013",free transfer,"Jul 1, 2007"
1666715741-3172,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Laurent Merlin,https://www.transfermarkt.com/laurent-merlin/profil/spieler/7046,Laurent Merlin,"Sep 17, 1984                                                                    (38)",Attacking Midfield,Without Club,,-,"Jul 1, 2015"
1666715744-3173,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Stéphane Ziani,https://www.transfermarkt.com/stephane-ziani/profil/spieler/5514,Stéphane Ziani,"Dec 9, 1971                                                                    (50)",Attacking Midfield,Retired,"Jul 1, 2006",free transfer,"Jul 1, 2005"
1666715747-3174,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Kamel Chafni,https://www.transfermarkt.com/kamel-chafni/profil/spieler/5399,Kamel Chafni,"Jun 11, 1982                                                                    (40)",Attacking Midfield,Retired,"Jul 3, 2021",free transfer,"Aug 1, 2020"
1666715750-3175,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,André Luiz,https://www.transfermarkt.com/andre-luiz/profil/spieler/14855,André Luiz,"Nov 14, 1974                                                                    (47)",Attacking Midfield,Retired,,free transfer,"Jul 1, 2009"
1666715753-3176,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Christophe Bastien,https://www.transfermarkt.com/christophe-bastien/profil/spieler/23891,Christophe Bastien,"Mar 9, 1976                                                                    (46)",Right Midfield,Retired,"Jul 1, 2010",free transfer,"Jul 1, 2009"
1666715757-3177,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Jean-Baptiste Pierazzi,https://www.transfermarkt.com/jean-baptiste-pierazzi/profil/spieler/44679,Jean-Baptiste Pierazzi,"Jun 7, 1985                                                                    (37)",Central Midfield,Retired,"Jul 1, 2022",free transfer,"Jul 1, 2021"
1666715760-3178,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Romain Rocchi,https://www.transfermarkt.com/romain-rocchi/profil/spieler/5566,Romain Rocchi,"Oct 2, 1981                                                                    (41)",Defensive Midfield,Retired,,free transfer,"Jul 1, 2013"
1666715763-3179,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Ferrugem,https://www.transfermarkt.com/ferrugem/profil/spieler/28543,Ferrugem,"Oct 6, 1980                                                                    (42)",Defensive Midfield,Retired,"Mar 1, 2013",free transfer,"Jul 1, 2012"
1666715765-3180,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Richard Suriano,https://www.transfermarkt.com/richard-suriano/profil/spieler/26765,Richard Suriano,"Jan 28, 1982                                                                    (40)",Right-Back,Retired,,free transfer,"Jul 1, 2012"
1666715768-3181,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Daouda Jabi,https://www.transfermarkt.com/daouda-jabi/profil/spieler/5478,Daouda Jabi,"Apr 10, 1981                                                                    (41)",Right-Back,Retired,,-,"Dec 5, 2008"
1666715771-3182,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Fabien Laurenti,https://www.transfermarkt.com/fabien-laurenti/profil/spieler/5313,Fabien Laurenti,"Jan 6, 1983                                                                    (39)",Right-Back,Retired,"Jul 1, 2015",free transfer,"Jul 26, 2014"
1666715773-3183,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Jean-Toussaint Moretti,https://www.transfermarkt.com/jean-toussaint-moretti/profil/spieler/38540,Jean-Toussaint Moretti,"Mar 12, 1980                                                                    (42)",Left-Back,Retired,,free transfer,"Jul 1, 2006"
1666715776-3184,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/plus/?saison_id=2005,AC Ajaccio,https://www.transfermarkt.com/ac-ajaccio/startseite/verein/1147/saison_id/2005,Anthony Baron,https://www.transfermarkt.com/anthony-baron/profil/spieler/38538,Anthony Baron,"Apr 9, 1986                                                                    (36)",Left-Back,Retired,"Jul 1, 2009",free transfer,"Jul 1, 2008"
