web-scraper-order,web-scraper-start-url,teams,teams-href,playerprofile,playerprofile-href,playername,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
1666711405-2585,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1/plus/?saison_id=2005,MSV Duisburg,https://www.transfermarkt.com/msv-duisburg/startseite/verein/52/saison_id/2005,Josef Ivanovic,https://www.transfermarkt.com/josef-ivanovic/profil/spieler/1165,Josef Ivanovic,"Dec 5, 1973                                                                    (48)",Centre-Forward,Retired,,-,"Jan 1, 2011"
1666711408-2586,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1/plus/?saison_id=2005,MSV Duisburg,https://www.transfermarkt.com/msv-duisburg/startseite/verein/52/saison_id/2005,Peter Van Houdt,https://www.transfermarkt.com/peter-van-houdt/profil/spieler/804,Peter Van Houdt,"Nov 4, 1976                                                                    (45)",Centre-Forward,Retired,Hasselt,free transfer,"Aug 1, 2009"
1666711411-2587,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1/plus/?saison_id=2005,MSV Duisburg,https://www.transfermarkt.com/msv-duisburg/startseite/verein/52/saison_id/2005,Markus Kurth,https://www.transfermarkt.com/markus-kurth/profil/spieler/43,Markus Kurth,N/A                                                                    (49),Centre-Forward,Retired,Neuss,free transfer,"Jul 1, 2010"
1666711414-2588,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1/plus/?saison_id=2005,MSV Duisburg,https://www.transfermarkt.com/msv-duisburg/startseite/verein/52/saison_id/2005,Abdelaziz Ahanfouf,https://www.transfermarkt.com/abdelaziz-ahanfouf/profil/spieler/229,Abdelaziz Ahanfouf,"Jan 14, 1978                                                                    (44)",Centre-Forward,Retired,"Jan 1, 2016",free transfer,"Jul 1, 2015"
1666711417-2589,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1/plus/?saison_id=2005,MSV Duisburg,https://www.transfermarkt.com/msv-duisburg/startseite/verein/52/saison_id/2005,Klemen Lavric,https://www.transfermarkt.com/klemen-lavric/profil/spieler/18293,Klemen Lavric,"Jun 12, 1981                                                                    (41)",Centre-Forward,Retired,"Jul 1, 2014",-,"Oct 15, 2013"
1666711420-2590,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1/plus/?saison_id=2005,MSV Duisburg,https://www.transfermarkt.com/msv-duisburg/startseite/verein/52/saison_id/2005,Jung-hwan Ahn,https://www.transfermarkt.com/jung-hwan-ahn/profil/spieler/3489,Jung-hwan Ahn,"Jan 27, 1976                                                                    (46)",Second Striker,Retired,,free transfer,"Mar 1, 2009"
1666711425-2591,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1/plus/?saison_id=2005,MSV Duisburg,https://www.transfermarkt.com/msv-duisburg/startseite/verein/52/saison_id/2005,Kai Michalke,https://www.transfermarkt.com/kai-michalke/profil/spieler/346,Kai Michalke,"Apr 5, 1976                                                                    (46)",Left Winger,Retired,"Aug 1, 2009",-,"Jul 1, 2009"
1666711427-2592,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1/plus/?saison_id=2005,MSV Duisburg,https://www.transfermarkt.com/msv-duisburg/startseite/verein/52/saison_id/2005,Niklas Stegmann,https://www.transfermarkt.com/niklas-stegmann/profil/spieler/36185,Niklas Stegmann,"Jul 2, 1987                                                                    (35)",Attacking Midfield,Retired,"Jul 1, 2012",free transfer,"Jul 1, 2011"
1666711430-2593,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1/plus/?saison_id=2005,MSV Duisburg,https://www.transfermarkt.com/msv-duisburg/startseite/verein/52/saison_id/2005,Dirk Lottner,https://www.transfermarkt.com/dirk-lottner/profil/spieler/44,Dirk Lottner,"Mar 4, 1972                                                                    (50)",Attacking Midfield,Retired,"Jul 1, 2007",free transfer,"Jul 1, 2006"
1666711433-2594,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1/plus/?saison_id=2005,MSV Duisburg,https://www.transfermarkt.com/msv-duisburg/startseite/verein/52/saison_id/2005,Nasir El Kasmi,https://www.transfermarkt.com/nasir-el-kasmi/profil/spieler/1967,Nasir El Kasmi,"Oct 2, 1982                                                                    (40)",Right Midfield,Retired,-,free transfer,"Jul 1, 2006"
