web-scraper-order,web-scraper-start-url,teams,teams-href,playerProfile,playerProfile-href,playername,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
1666630773-1729,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Vasilios Sachinidis,https://www.transfermarkt.com/vasilios-sachinidis/profil/spieler/28811,Vasilios Sachinidis,"Jan 20, 1986                                                                    (36)",Centre-Forward,Without Club,"Mar 1, 2021",free transfer,"Aug 14, 2019"
1666630779-1730,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Fernando Benitez,https://www.transfermarkt.com/fernando-benitez/profil/spieler/33160,Fernando Benitez,"Feb 1, 1978                                                                    (44)",Centre-Forward,Retired,"Jul 1, 2016",free transfer,"Jul 8, 2012"
1666630788-1732,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Emanuel Perrone,https://www.transfermarkt.com/emanuel-perrone/profil/spieler/34324,Emanuel Perrone,"Jun 14, 1983                                                                    (39)",Centre-Forward,Retired,"Jan 1, 2020",free transfer,"Aug 7, 2018"
1666630792-1734,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Milton Coimbra,https://www.transfermarkt.com/milton-coimbra/profil/spieler/28880,Milton Coimbra,"May 4, 1975                                                                    (47)",Centre-Forward,Retired,"Jan 1, 2010",?,"Jan 1, 2009"
1666630795-1736,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Benjamin Onwuachi,https://www.transfermarkt.com/benjamin-onwuachi/profil/spieler/28850,Benjamin Onwuachi,"Apr 9, 1984                                                                    (38)",Centre-Forward,Without Club,"Jul 1, 2019",free transfer,"Dec 5, 2018"
1666630800-1739,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Anastasios Triantafyllou,https://www.transfermarkt.com/anastasios-triantafyllou/profil/spieler/16456,Anastasios Triantafyllou,"Jan 11, 1979                                                                    (43)",Centre-Forward,Retired,"Sep 17, 2021",free transfer,"Mar 18, 2021"
1666630809-1741,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Filipe da Costa,https://www.transfermarkt.com/filipe-da-costa/profil/spieler/28289,Filipe da Costa,"Aug 30, 1984                                                                    (38)",Left Winger,Retired,"Jul 1, 2017",free transfer,"Jan 1, 2017"
1666630812-1743,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Kendal Ucar,https://www.transfermarkt.com/kendal-ucar/profil/spieler/16191,Kendal Ucar,"Sep 3, 1981                                                                    (41)",Attacking Midfield,Unknown,Ionikos Nikeas,free transfer,"Jul 1, 2013"
1666630815-1745,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Vladan Zivkovic,https://www.transfermarkt.com/vladan-zivkovic/profil/spieler/24817,Vladan Zivkovic,"Jun 6, 1982                                                                    (40)",Attacking Midfield,Retired,-,?,"Jul 1, 2009"
1666630818-1747,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Marcelo Gutman,https://www.transfermarkt.com/marcelo-gutman/profil/spieler/16184,Marcelo Gutman,"Aug 29, 1979                                                                    (43)",Attacking Midfield,Retired,Ionikos Nikeas,free transfer,"Jul 1, 2010"
1666630821-1749,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Dimitrios Karademitros,https://www.transfermarkt.com/dimitrios-karademitros/profil/spieler/47427,Dimitrios Karademitros,"May 6, 1983                                                                    (39)",Left Midfield,Without Club,Apollon Smyrnis,free transfer,"Jan 23, 2016"
1666630831-1750,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Sotiris Konstantinidis,https://www.transfermarkt.com/sotiris-konstantinidis/profil/spieler/9857,Sotiris Konstantinidis,"Apr 19, 1977                                                                    (45)",Left Midfield,Dig. Lakkomatos,,free transfer,"Jul 1, 2015"
1666630844-1754,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Nikolaos Tsimplidis,https://www.transfermarkt.com/nikolaos-tsimplidis/profil/spieler/24812,Nikolaos Tsimplidis,"Jun 10, 1976                                                                    (46)",Right Midfield,Retired,"Jul 1, 2014",free transfer,"Jan 14, 2014"
1666630849-1756,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Konstantinos Mendrinos,https://www.transfermarkt.com/konstantinos-mendrinos/profil/spieler/9707,Konstantinos Mendrinos,"May 28, 1985                                                                    (37)",Central Midfield,APO Keratsini,,free transfer,"Jul 27, 2020"
1666630856-1759,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Gabriel Lettieri,https://www.transfermarkt.com/gabriel-lettieri/profil/spieler/16212,Gabriel Lettieri,"Dec 31, 1975                                                                    (46)",Central Midfield,Retired,Ionikos Nikeas,free transfer,"Jul 1, 2008"
1666630861-1762,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Oliver Makor,https://www.transfermarkt.com/oliver-makor/profil/spieler/16213,Oliver Makor,"Oct 9, 1973                                                                    (49)",Central Midfield,Retired,Ionikos Nikeas,free transfer,"Jul 1, 2011"
1666630866-1765,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Stathis Rokas,https://www.transfermarkt.com/stathis-rokas/profil/spieler/24810,Stathis Rokas,"Sep 18, 1984                                                                    (38)",Defensive Midfield,Rigas Fereos,,free transfer,"Jan 5, 2018"
1666630871-1768,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Efthymios Kotitsas,https://www.transfermarkt.com/efthymios-kotitsas/profil/spieler/24805,Efthymios Kotitsas,"Mar 25, 1986                                                                    (36)",Defensive Midfield,Ajax Tavros,,free transfer,"Jan 20, 2017"
1666630877-1771,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1/plus/?saison_id=2005,Ionikos Nikeas,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553/saison_id/2005,Ilias Kakaras,https://www.transfermarkt.com/ilias-kakaras/profil/spieler/24803,Ilias Kakaras,"Aug 3, 1984                                                                    (38)",Defensive Midfield,Sar. Anavyssou,,free transfer,"Jul 1, 2018"
