web-scraper-order,web-scraper-start-url,teams,teams-href,playerprofile,playerprofile-href,playername,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
1666709064-1828,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Federico Piovaccari,https://www.transfermarkt.com/federico-piovaccari/profil/spieler/44514,"#9                    
                                            Federico Piovaccari","Sep 1, 1984                                                                    (38)",Centre-Forward,Giugliano,"Jul 23, 2022",free transfer,"Feb 1, 2022"
1666709067-1829,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Damien Florian,https://www.transfermarkt.com/damien-florian/profil/spieler/23355,Damien Florian,"Jan 3, 1987                                                                    (35)",Centre-Forward,FC Clivense SM,"Aug 1, 2022",free transfer,"Feb 4, 2022"
1666709069-1830,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Stefano Dall'Acqua,https://www.transfermarkt.com/stefano-dallacqua/profil/spieler/23352,Stefano Dall'Acqua,"Jul 13, 1981                                                                    (41)",Centre-Forward,Retired,,?,"Sep 1, 2015"
1666709071-1831,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Robert Acquafresca,https://www.transfermarkt.com/robert-acquafresca/profil/spieler/35703,Robert Acquafresca,"Sep 11, 1987                                                                    (35)",Centre-Forward,Retired,,-,"Jul 1, 2019"
1666709073-1832,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Luigi Beghetto,https://www.transfermarkt.com/luigi-beghetto/profil/spieler/5933,Luigi Beghetto,"Jul 6, 1973                                                                    (49)",Centre-Forward,Retired,"Jul 1, 2009",free transfer,"Jan 1, 2009"
1666709076-1833,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Dino Fava,https://www.transfermarkt.com/dino-fava/profil/spieler/15418,Dino Fava,"Mar 16, 1977                                                                    (45)",Centre-Forward,Sessana,"Jul 27, 2022",free transfer,"Aug 18, 2021"
1666709078-1834,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Reginaldo,https://www.transfermarkt.com/reginaldo/profil/spieler/23365,"#19                    
                                            Reginaldo","Jul 31, 1983                                                                    (39)",Centre-Forward,Picerno,"Aug 31, 2021",free transfer,"Sep 17, 2020"
1666709081-1835,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Marco Borriello,https://www.transfermarkt.com/marco-borriello/profil/spieler/5825,Marco Borriello,"Jun 18, 1982                                                                    (40)",Centre-Forward,Retired,,free transfer,"Aug 27, 2018"
1666709083-1836,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Daniele Quadrini,https://www.transfermarkt.com/daniele-quadrini/profil/spieler/40111,Daniele Quadrini,"Jul 12, 1980                                                                    (42)",Right Winger,Retired,,-,"Jul 1, 2014"
1666709085-1837,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Alessio Sestu,https://www.transfermarkt.com/alessio-sestu/profil/spieler/23367,Alessio Sestu,"Sep 29, 1983                                                                    (39)",Right Winger,Retired,,-,"Dec 11, 2020"
1666709088-1838,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Wilker,https://www.transfermarkt.com/wilker/profil/spieler/40001,Wilker,"Jun 16, 1987                                                                    (35)",attack,Retired,,-,"Feb 2, 2016"
1666709090-1839,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Andrea Russotto,https://www.transfermarkt.com/andrea-russotto/profil/spieler/20590,"#7                    
                                            Andrea Russotto","May 25, 1988                                                                    (34)",Attacking Midfield,Catania,"Aug 8, 2022",-,"Apr 9, 2022"
1666709092-1840,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Blazej Vascak,https://www.transfermarkt.com/blazej-vascak/profil/spieler/34434,Blazej Vascak,"Nov 23, 1983                                                                    (38)",Attacking Midfield,Retired,"Jul 1, 2021",free transfer,"Aug 13, 2020"
1666709095-1841,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,André Pinga,https://www.transfermarkt.com/andre-pinga/profil/spieler/21889,André Pinga,"Apr 27, 1981                                                                    (41)",Attacking Midfield,Retired,"Jun 1, 2013",free transfer,"Jan 1, 2013"
1666709097-1842,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Andrea Dossena,https://www.transfermarkt.com/andrea-dossena/profil/spieler/21863,Andrea Dossena,"Sep 11, 1981                                                                    (41)",Left Midfield,Retired,,-,"Feb 15, 2017"
1666709099-1843,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Roberto Chiappara,https://www.transfermarkt.com/roberto-chiappara/profil/spieler/23349,Roberto Chiappara,"Nov 8, 1973                                                                    (48)",Right Midfield,Retired,,-,"Sep 1, 2009"
1666709101-1844,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Jehad Muntasser,https://www.transfermarkt.com/jehad-muntasser/profil/spieler/21943,Jehad Muntasser,"Jul 26, 1978                                                                    (44)",Right Midfield,Retired,,free transfer,"Jul 1, 2007"
1666709104-1845,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1/plus/?saison_id=2005,Treviso FBC 1993,https://www.transfermarkt.com/acd-treviso/startseite/verein/2251/saison_id/2005,Antonio Filippini,https://www.transfermarkt.com/antonio-filippini/profil/spieler/5973,Antonio Filippini,"Jul 3, 1973                                                                    (49)",Right Midfield,Retired,"Jul 1, 2011",free transfer,"Sep 1, 2010"
