web-scraper-order,web-scraper-start-url,teams,teams-href,playerprofile,playerprofile-href,playername,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
1666702116-903,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1/plus/?saison_id=2005,Heracles Almelo,https://www.transfermarkt.com/heracles-almelo/startseite/verein/1304/saison_id/2005,Gertjan Tamerus,https://www.transfermarkt.com/gertjan-tamerus/profil/spieler/21531,Gertjan Tamerus,"Oct 11, 1980                                                                    (42)",Centre-Forward,Retired,"Jul 1, 2018",free transfer,"Jul 1, 2012"
1666702122-904,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1/plus/?saison_id=2005,Heracles Almelo,https://www.transfermarkt.com/heracles-almelo/startseite/verein/1304/saison_id/2005,Sota Hirayama,https://www.transfermarkt.com/sota-hirayama/profil/spieler/34114,Sota Hirayama,"Jun 6, 1985                                                                    (37)",Centre-Forward,Retired,"Jan 31, 2018",?,"Jan 1, 2017"
1666702128-905,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1/plus/?saison_id=2005,Heracles Almelo,https://www.transfermarkt.com/heracles-almelo/startseite/verein/1304/saison_id/2005,Marc Höcher,https://www.transfermarkt.com/marc-hocher/profil/spieler/29936,Marc Höcher,"Sep 9, 1984                                                                    (38)",Right Winger,Retired,"Jul 1, 2018",-,"Aug 31, 2017"
1666702133-906,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1/plus/?saison_id=2005,Heracles Almelo,https://www.transfermarkt.com/heracles-almelo/startseite/verein/1304/saison_id/2005,Denis Calincov,https://www.transfermarkt.com/denis-calincov/profil/spieler/9587,Denis Calincov,"Sep 15, 1985                                                                    (37)",Left Winger,Retired,,-,"Jul 20, 2016"
1666702137-907,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1/plus/?saison_id=2005,Heracles Almelo,https://www.transfermarkt.com/heracles-almelo/startseite/verein/1304/saison_id/2005,Thijs Sluijter,https://www.transfermarkt.com/thijs-sluijter/profil/spieler/19283,Thijs Sluijter,"Feb 10, 1980                                                                    (42)",Left Winger,Retired,,free transfer,"Jul 1, 2013"
1666702142-908,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1/plus/?saison_id=2005,Heracles Almelo,https://www.transfermarkt.com/heracles-almelo/startseite/verein/1304/saison_id/2005,Sander Weenk,https://www.transfermarkt.com/sander-weenk/profil/spieler/38758,Sander Weenk,"Jan 1, 1986                                                                    (36)",,Unknown,-,free transfer,"Jul 1, 2008"
1666702146-909,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1/plus/?saison_id=2005,Heracles Almelo,https://www.transfermarkt.com/heracles-almelo/startseite/verein/1304/saison_id/2005,Stefaan Tanghe,https://www.transfermarkt.com/stefaan-tanghe/profil/spieler/4476,Stefaan Tanghe,"Jan 15, 1972                                                                    (50)",Attacking Midfield,Retired,"Jul 1, 2012",free transfer,"Jul 1, 2010"
1666702149-910,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1/plus/?saison_id=2005,Heracles Almelo,https://www.transfermarkt.com/heracles-almelo/startseite/verein/1304/saison_id/2005,Mika Nurmela,https://www.transfermarkt.com/mika-nurmela/profil/spieler/4409,Mika Nurmela,"Dec 26, 1971                                                                    (50)",Right Midfield,Retired,,free transfer,"Jan 1, 2009"
1666702153-911,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1/plus/?saison_id=2005,Heracles Almelo,https://www.transfermarkt.com/heracles-almelo/startseite/verein/1304/saison_id/2005,Bernard Hofstede,https://www.transfermarkt.com/bernard-hofstede/profil/spieler/19378,Bernard Hofstede,"Sep 22, 1980                                                                    (42)",Central Midfield,Retired,"Jul 1, 2016",free transfer,"Jul 1, 2014"
1666702156-912,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1/plus/?saison_id=2005,Heracles Almelo,https://www.transfermarkt.com/heracles-almelo/startseite/verein/1304/saison_id/2005,Rob Maas,https://www.transfermarkt.com/rob-maas/profil/spieler/344,Rob Maas,"Dec 17, 1969                                                                    (52)",Defensive Midfield,Retired,,free transfer,"Jul 1, 2008"
1666702159-913,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1/plus/?saison_id=2005,Heracles Almelo,https://www.transfermarkt.com/heracles-almelo/startseite/verein/1304/saison_id/2005,Kwame Quansah,https://www.transfermarkt.com/kwame-quansah/profil/spieler/7326,Kwame Quansah,"Nov 24, 1982                                                                    (39)",Defensive Midfield,Retired,"Dec 1, 2016",-,"Mar 1, 2016"
