web-scraper-order,web-scraper-start-url,teams,teams-href,playerprofile,playerprofile-href,playername,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
1666801633-301,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Léo Guerra,https://www.transfermarkt.com/leo-guerra/profil/spieler/34147,Léo Guerra,"Jul 11, 1976                                                                    (46)",Centre-Forward,Retired,-,?,"Jul 1, 2005"
1666801635-303,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Bruno Cazarine,https://www.transfermarkt.com/bruno-cazarine/profil/spieler/34841,Bruno Cazarine,"May 6, 1983                                                                    (39)",Centre-Forward,Retired,"Jul 1, 2012",free transfer,"Aug 1, 2010"
1666801639-305,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Bruno Fogaça,https://www.transfermarkt.com/bruno-fogaca/profil/spieler/34013,Bruno Fogaça,"Nov 11, 1981                                                                    (40)",Centre-Forward,Retired,,free transfer,"Aug 1, 2011"
1666801642-307,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Saulo,https://www.transfermarkt.com/saulo/profil/spieler/24962,Saulo,"Feb 18, 1982                                                                    (40)",Right Winger,Unknown,,?,"Oct 22, 2019"
1666801648-310,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Lito,https://www.transfermarkt.com/lito/profil/spieler/14325,Lito,"Feb 3, 1975                                                                    (47)",Right Winger,Retired,,free transfer,"Jul 1, 2014"
1666801653-312,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Marcinho,https://www.transfermarkt.com/marcinho/profil/spieler/34145,Marcinho,"Jul 31, 1981                                                                    (41)",Attacking Midfield,Unknown,,?,"Oct 1, 2010"
1666801698-314,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Éder Richartz,https://www.transfermarkt.com/eder-richartz/profil/spieler/33984,Éder Richartz,"Oct 7, 1981                                                                    (41)",Attacking Midfield,Retired,Florianópolis,?,"Mar 24, 2014"
1666801704-315,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Tiago Fraga,https://www.transfermarkt.com/tiago-fraga/profil/spieler/37796,Tiago Fraga,"Mar 2, 1981                                                                    (41)",Attacking Midfield,Retired,,?,"Aug 1, 2014"
1666801707-316,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Solimar,https://www.transfermarkt.com/solimar/profil/spieler/24701,Solimar,"Sep 16, 1975                                                                    (47)",Attacking Midfield,Retired,,free transfer,"Jul 1, 2008"
1666801712-318,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Rui Miguel,https://www.transfermarkt.com/rui-miguel/profil/spieler/24709,Rui Miguel,"Nov 15, 1983                                                                    (38)",Attacking Midfield,Retired,,free transfer,"Jul 1, 2019"
1666801716-320,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Fajardo,https://www.transfermarkt.com/fajardo/profil/spieler/24715,Fajardo,"Oct 27, 1978                                                                    (43)",Attacking Midfield,Retired,,free transfer,"Jul 1, 2016"
1666801719-322,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Pedro Santos,https://www.transfermarkt.com/pedro-santos/profil/spieler/13171,Pedro Santos,"Jun 28, 1976                                                                    (46)",Central Midfield,Retired,"Jul 1, 2011",free transfer,"Aug 1, 2008"
1666801722-323,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,João Mendes,https://www.transfermarkt.com/joao-mendes/profil/spieler/34146,João Mendes,"Mar 3, 1987                                                                    (35)",Defensive Midfield,Retired,,?,"Jul 1, 2013"
1666801725-325,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Gilmar,https://www.transfermarkt.com/gilmar/profil/spieler/24706,Gilmar,"Oct 17, 1973                                                                    (49)",Defensive Midfield,Retired,"Jul 1, 2010",?,"Jul 1, 2005"
1666801728-327,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Glauber,https://www.transfermarkt.com/glauber/profil/spieler/34015,Glauber,"Feb 9, 1975                                                                    (47)",midfield,Retired,,-,"Jan 1, 2014"
1666801732-329,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Pedro Bessa,https://www.transfermarkt.com/pedro-bessa/profil/spieler/13125,Pedro Bessa,"Dec 18, 1976                                                                    (45)",Right-Back,Retired,"Jul 1, 2011",?,"Jul 1, 2010"
1666801735-331,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Carlitos,https://www.transfermarkt.com/carlitos/profil/spieler/24158,Carlitos,"Dec 5, 1981                                                                    (40)",Right-Back,Retired,"Jul 1, 2019",free transfer,"Jul 1, 2018"
1666801739-333,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,China,https://www.transfermarkt.com/china/profil/spieler/25396,China,"Apr 15, 1982                                                                    (40)",Left-Back,Retired,,free transfer,"Jul 1, 2020"
1666801742-335,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Renato Benatti,https://www.transfermarkt.com/renato-benatti/profil/spieler/34850,Renato Benatti,"Oct 17, 1981                                                                    (41)",Centre-Back,Retired,,?,"May 8, 2014"
1666801745-337,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,João Paulo,https://www.transfermarkt.com/joao-paulo/profil/spieler/34028,João Paulo,"Feb 22, 1983                                                                    (39)",Centre-Back,Retired,"May 1, 2009",free transfer,"Dec 1, 2008"
1666801749-339,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Aurélio Sousa Teixeira,https://www.transfermarkt.com/aurelio-sousa-teixeira/profil/spieler/33985,Aurélio Sousa Teixeira,"Oct 3, 1982                                                                    (40)",Centre-Back,Retired,Dijon,free transfer,"Jul 1, 2006"
1666801752-341,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Nélson Veiga,https://www.transfermarkt.com/nelson-veiga/profil/spieler/24174,Nélson Veiga,"Feb 9, 1978                                                                    (44)",Centre-Back,Retired,,free transfer,"Jul 9, 2016"
1666801756-343,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Fernando,https://www.transfermarkt.com/fernando/profil/spieler/24123,Fernando,"Jan 29, 1974                                                                    (48)",Centre-Back,Retired,,-,"Jul 1, 2017"
1666801760-345,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Pedro Franco,https://www.transfermarkt.com/pedro-franco/profil/spieler/14293,Pedro Franco,"Apr 18, 1974                                                                    (48)",Centre-Back,Retired,"Jul 1, 2010",free transfer,"Jul 1, 2009"
1666801763-347,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Jérémy Sopalski,https://www.transfermarkt.com/jeremy-sopalski/profil/spieler/24162,Jérémy Sopalski,"Feb 6, 1981                                                                    (41)",Goalkeeper,Retired,,free transfer,"Aug 27, 2013"
1666801766-349,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Wilson Júnior,https://www.transfermarkt.com/wilson-junior/profil/spieler/34844,Wilson Júnior,"Oct 27, 1976                                                                    (45)",Goalkeeper,Retired,,?,"Sep 12, 2014"
1666801770-351,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,Naval 1º de Maio,https://www.transfermarkt.com/associacao-naval-1893/startseite/verein/4814/saison_id/2005,Pedro Taborda,https://www.transfermarkt.com/pedro-taborda/profil/spieler/24175,Pedro Taborda,"Jun 22, 1978                                                                    (44)",Goalkeeper,Retired,,free transfer,"Jul 19, 2016"
1666801778-354,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,FC Paços de Ferreira,https://www.transfermarkt.com/fc-pacos-de-ferreira/startseite/verein/2995/saison_id/2005,Adriano Magrão,https://www.transfermarkt.com/adriano-magrao/profil/spieler/42007,Adriano Magrão,"Mar 7, 1981                                                                    (41)",Centre-Forward,Retired,,free transfer,"Feb 1, 2012"
1666801782-356,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,FC Paços de Ferreira,https://www.transfermarkt.com/fc-pacos-de-ferreira/startseite/verein/2995/saison_id/2005,Júnior Bahia,https://www.transfermarkt.com/junior-bahia/profil/spieler/25206,Júnior Bahia,"Apr 2, 1977                                                                    (45)",Centre-Forward,Retired,,?,"Jul 1, 2008"
1666801786-358,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,FC Paços de Ferreira,https://www.transfermarkt.com/fc-pacos-de-ferreira/startseite/verein/2995/saison_id/2005,Edinho,https://www.transfermarkt.com/edinho/profil/spieler/29366,Edinho,"Jul 7, 1982                                                                    (40)",Centre-Forward,Without Club,"Jul 1, 2022",free transfer,"Jul 1, 2021"
1666801789-360,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,FC Paços de Ferreira,https://www.transfermarkt.com/fc-pacos-de-ferreira/startseite/verein/2995/saison_id/2005,João Paulo,https://www.transfermarkt.com/joao-paulo/profil/spieler/14309,João Paulo,"Apr 8, 1980                                                                    (42)",Centre-Forward,Retired,,-,"Jul 1, 2017"
1666801793-362,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,FC Paços de Ferreira,https://www.transfermarkt.com/fc-pacos-de-ferreira/startseite/verein/2995/saison_id/2005,Ronny,https://www.transfermarkt.com/ronny/profil/spieler/34097,Ronny,"Feb 25, 1983                                                                    (39)",Centre-Forward,Retired,,-,"Feb 11, 2016"
1666801796-364,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,FC Paços de Ferreira,https://www.transfermarkt.com/fc-pacos-de-ferreira/startseite/verein/2995/saison_id/2005,Didi,https://www.transfermarkt.com/didi/profil/spieler/24733,Didi,"Sep 10, 1982                                                                    (40)",Second Striker,Retired,,?,"Jan 1, 2014"
1666801799-366,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,FC Paços de Ferreira,https://www.transfermarkt.com/fc-pacos-de-ferreira/startseite/verein/2995/saison_id/2005,Renato Queirós,https://www.transfermarkt.com/renato-queiros/profil/spieler/14362,Renato Queirós,"Jul 20, 1977                                                                    (45)",Right Winger,Retired,"Jul 1, 2012",free transfer,"Jul 1, 2010"
1666801803-368,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,FC Paços de Ferreira,https://www.transfermarkt.com/fc-pacos-de-ferreira/startseite/verein/2995/saison_id/2005,Cristiano,https://www.transfermarkt.com/cristiano/profil/spieler/33739,Cristiano,"Sep 28, 1983                                                                    (39)",Left Winger,Jataiense-GO,"Mar 2, 2021",-,"Dec 11, 2017"
1666801805-369,https://www.transfermarkt.com/liga-portugal/startseite/wettbewerb/PO1/plus/?saison_id=2005,FC Paços de Ferreira,https://www.transfermarkt.com/fc-pacos-de-ferreira/startseite/verein/2995/saison_id/2005,Tiago Martins,https://www.transfermarkt.com/tiago-martins/profil/spieler/25214,Tiago Martins,"Jul 19, 1976                                                                    (46)",Left Winger,Retired,,?,"Dec 31, 2012"
