web-scraper-order,web-scraper-start-url,teams,teams-href,playerprofile,playerprofile-href,playername,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
1666801282-172,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2005,Caykur Rizespor,https://www.transfermarkt.com/caykur-rizespor/startseite/verein/126/saison_id/2005,Gökhan Kaba,https://www.transfermarkt.com/gokhan-kaba/profil/spieler/35636,Gökhan Kaba,"Nov 24, 1983                                                                    (38)",Centre-Forward,Retired,Sakarya,free transfer,"Feb 2, 2015"
1666801285-173,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2005,Caykur Rizespor,https://www.transfermarkt.com/caykur-rizespor/startseite/verein/126/saison_id/2005,István Ferenczi,https://www.transfermarkt.com/istvan-ferenczi/profil/spieler/15964,István Ferenczi,"Sep 14, 1977                                                                    (45)",Centre-Forward,Retired,"Jul 1, 2018",-,"Jan 1, 2016"
1666801290-174,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2005,Caykur Rizespor,https://www.transfermarkt.com/caykur-rizespor/startseite/verein/126/saison_id/2005,Saffet Akyüz,https://www.transfermarkt.com/saffet-akyuz/profil/spieler/7186,Saffet Akyüz,"Mar 11, 1970                                                                    (52)",Centre-Forward,Retired,"Jul 1, 2006",free transfer,"Feb 9, 2006"
1666801292-175,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2005,Caykur Rizespor,https://www.transfermarkt.com/caykur-rizespor/startseite/verein/126/saison_id/2005,Pape Ciré Dia,https://www.transfermarkt.com/pape-cire-dia/profil/spieler/34163,Pape Ciré Dia,"Aug 19, 1980                                                                    (42)",Centre-Forward,Retired,Dakar,-,"Dec 1, 2010"
1666801294-176,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2005,Caykur Rizespor,https://www.transfermarkt.com/caykur-rizespor/startseite/verein/126/saison_id/2005,Okan Öztürk,https://www.transfermarkt.com/okan-ozturk/profil/spieler/7184,Okan Öztürk,"Nov 30, 1977                                                                    (44)",Centre-Forward,Retired,"Jul 1, 2013",free transfer,"Jul 26, 2012"
1666801296-177,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2005,Caykur Rizespor,https://www.transfermarkt.com/caykur-rizespor/startseite/verein/126/saison_id/2005,Aydin Kuzu,https://www.transfermarkt.com/aydin-kuzu/profil/spieler/44984,Aydin Kuzu,"May 3, 1986                                                                    (36)",Right Winger,Tire Belediye,"Oct 26, 2021",free transfer,"Mar 26, 2021"
1666801299-178,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2005,Caykur Rizespor,https://www.transfermarkt.com/caykur-rizespor/startseite/verein/126/saison_id/2005,Serkan Özdemir,https://www.transfermarkt.com/serkan-ozdemir/profil/spieler/7226,Serkan Özdemir,"May 14, 1976                                                                    (46)",Right Winger,Retired,"Jul 1, 2017",-,"Oct 14, 2016"
1666801301-179,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2005,Caykur Rizespor,https://www.transfermarkt.com/caykur-rizespor/startseite/verein/126/saison_id/2005,Ferdi Elmas,https://www.transfermarkt.com/ferdi-elmas/profil/spieler/29949,Ferdi Elmas,"Feb 13, 1985                                                                    (37)",Left Winger,Without Club,"Jul 1, 2017",-,"Jan 10, 2017"
1666801303-180,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2005,Caykur Rizespor,https://www.transfermarkt.com/caykur-rizespor/startseite/verein/126/saison_id/2005,Murat Salar,https://www.transfermarkt.com/murat-salar/profil/spieler/7344,Murat Salar,"Nov 23, 1976                                                                    (45)",Attacking Midfield,Retired,"Mar 1, 2014",free transfer,"Jul 30, 2013"
1666801305-181,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2005,Caykur Rizespor,https://www.transfermarkt.com/caykur-rizespor/startseite/verein/126/saison_id/2005,Douglas,https://www.transfermarkt.com/douglas/profil/spieler/34332,Douglas,"Feb 18, 1982                                                                    (40)",Attacking Midfield,Retired,"Oct 27, 2020",free transfer,"Mar 12, 2020"
