web-scraper-order,web-scraper-start-url,teams,teams-href,playerprofile,playerprofile-href,playername,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
1666630684-1692,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Igor Prodan,https://www.transfermarkt.com/igor-prodan/profil/spieler/167028,Igor Prodan,"Feb 29, 1976                                                                    (46)",Centre-Forward,Retired,,-,"Aug 27, 2019"
1666630687-1693,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Vyacheslav Tereshchenko,https://www.transfermarkt.com/vyacheslav-tereshchenko/profil/spieler/27215,Vyacheslav Tereshchenko,"Jan 16, 1977                                                                    (45)",Centre-Forward,Retired,"Jan 1, 2007",free transfer,"Jul 1, 2006"
1666630689-1694,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Sergiy Ryzhykh,https://www.transfermarkt.com/sergiy-ryzhykh/profil/spieler/55552,Sergiy Ryzhykh,"Sep 12, 1979                                                                    (43)",Centre-Forward,Retired,"Jan 1, 2011",?,"Aug 1, 2010"
1666630691-1695,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Oleksandr Pyshchur,https://www.transfermarkt.com/oleksandr-pyshchur/profil/spieler/58245,Oleksandr Pyshchur,"Jan 26, 1981                                                                    (41)",Centre-Forward,Retired,"Nov 3, 2017",-,"Sep 25, 2017"
1666630694-1696,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Mykhaylo Kopolovets,https://www.transfermarkt.com/mykhaylo-kopolovets/profil/spieler/58051,Mykhaylo Kopolovets,"Jan 29, 1984                                                                    (38)",Left Winger,Retired,"Apr 4, 2021",-,"Feb 12, 2021"
1666630696-1697,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Oleksandr Grebenozhko,https://www.transfermarkt.com/oleksandr-grebenozhko/profil/spieler/126621,Oleksandr Grebenozhko,"Nov 4, 1976                                                                    (45)",attack,Retired,,free transfer,"Jan 1, 2008"
1666630698-1698,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Oleksandr Buryi,https://www.transfermarkt.com/oleksandr-buryi/profil/spieler/57860,Oleksandr Buryi,"Jun 16, 1983                                                                    (39)",,Retired,"Jan 1, 2011",free transfer,"May 1, 2010"
1666630700-1699,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Igor Joksimovic,https://www.transfermarkt.com/igor-joksimovic/profil/spieler/129243,Igor Joksimovic,"Aug 16, 1980                                                                    (42)",attack,Retired,,free transfer,"Jul 1, 2011"
1666630702-1700,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Oleksandr Pikhur,https://www.transfermarkt.com/oleksandr-pikhur/profil/spieler/58101,Oleksandr Pikhur,"Aug 25, 1982                                                                    (40)",Attacking Midfield,Retired,,,
1666630705-1701,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Eddy Dombraye,https://www.transfermarkt.com/eddy-dombraye/profil/spieler/57870,Eddy Dombraye,"Nov 11, 1979                                                                    (42)",Attacking Midfield,Retired,,-,"May 1, 2009"
1666630707-1702,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Artem Yevlanov,https://www.transfermarkt.com/artem-yevlanov/profil/spieler/109746,Artem Yevlanov,"Jun 18, 1984                                                                    (38)",Right Midfield,Unknown,,free transfer,"Apr 30, 2014"
1666630709-1703,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Denys Smirnov,https://www.transfermarkt.com/denys-smirnov/profil/spieler/59986,Denys Smirnov,"Jun 18, 1975                                                                    (47)",Central Midfield,Retired,,?,"Jan 1, 2006"
1666630711-1704,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Sergiy Rozhok,https://www.transfermarkt.com/sergiy-rozhok/profil/spieler/91476,Sergiy Rozhok,"Apr 25, 1985                                                                    (37)",Central Midfield,Shturm Ivankiv,"Aug 13, 2022",free transfer,"Jan 1, 2019"
1666630714-1705,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Vladyslav Mykulyak,https://www.transfermarkt.com/vladyslav-mykulyak/profil/spieler/57894,Vladyslav Mykulyak,"Aug 30, 1984                                                                    (38)",Central Midfield,Without Club,"Jul 1, 2022",free transfer,"Aug 27, 2021"
1666630716-1706,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Vasyl Kaminsky,https://www.transfermarkt.com/vasyl-kaminsky/profil/spieler/151877,Vasyl Kaminsky,"Feb 9, 1985                                                                    (37)",,Retired,"Jul 1, 2019",?,"Aug 31, 2018"
1666630718-1707,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Yuriy Dudnyk,https://www.transfermarkt.com/yuriy-dudnyk/profil/spieler/168976,Yuriy Dudnyk,"Sep 26, 1968                                                                    (54)",midfield,Retired,"Jan 1, 2008",?,"Jan 1, 2007"
1666630720-1708,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Vadym Zayats,https://www.transfermarkt.com/vadym-zayats/profil/spieler/167992,Vadym Zayats,"Jun 1, 1974                                                                    (48)",midfield,Retired,"Jul 1, 2009",free transfer,"Jan 1, 2006"
1666630723-1709,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Oleksandr Malitskyi,https://www.transfermarkt.com/oleksandr-malitskyi/profil/spieler/79667,Oleksandr Malitskyi,"Mar 31, 1978                                                                    (44)",midfield,Retired,,free transfer,"Apr 15, 2011"
1666630725-1710,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Volodymyr Kravchenko,https://www.transfermarkt.com/volodymyr-kravchenko/profil/spieler/146102,Volodymyr Kravchenko,"Feb 24, 1981                                                                    (41)",midfield,Retired,"Jul 1, 2010",-,"Jul 1, 2009"
1666630727-1711,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Andriy Sapuga,https://www.transfermarkt.com/andriy-sapuga/profil/spieler/89111,Andriy Sapuga,"Oct 4, 1976                                                                    (46)",Right-Back,Retired,"Jan 1, 2009",free transfer,"Jul 1, 2008"
1666630729-1712,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Vasyl Kobin,https://www.transfermarkt.com/vasyl-kobin/profil/spieler/58046,Vasyl Kobin,"May 24, 1985                                                                    (37)",Right-Back,Retired,,-,"Jan 22, 2019"
1666630731-1713,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Taras Ilnytskyi,https://www.transfermarkt.com/taras-ilnytskyi/profil/spieler/59270,Taras Ilnytskyi,"Mar 4, 1983                                                                    (39)",Right-Back,Retired,,-,"Apr 1, 2013"
1666630733-1714,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Anatoliy Kitsuta,https://www.transfermarkt.com/anatoliy-kitsuta/profil/spieler/40705,Anatoliy Kitsuta,"Dec 22, 1985                                                                    (36)",Left-Back,Retired,,?,"Aug 1, 2019"
1666630736-1715,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1/plus/?saison_id=2005,Zakarpattia Uzhgorod,https://www.transfermarkt.com/goverla-uzhgorod/startseite/verein/6996/saison_id/2005,Denys Golaydo,https://www.transfermarkt.com/denys-golaydo/profil/spieler/43308,Denys Golaydo,"Jun 3, 1984                                                                    (38)",Left-Back,Retired,"Jul 18, 2017",free transfer,"Aug 20, 2015"
