position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam,gamesPlayedLastYear,gamesPlayedLast2Year,gamesPlayedLast3Year,injurysLast3Year
Centre-Forward,Retired,free transfer,38,3,11,24,31,2
Centre-Forward,Retired,free transfer,34,2,12,26,19,0
Attacking Midfield,Retired,free transfer,32,1,31,29,41,1
Attacking Midfield,Retired,free transfer,35,1,0,18,20,0
Right Midfield,Retired,free transfer,38,1,1,28,35,0
Central Midfield,Retired,free transfer,39,3,1,18,26,0
Defensive Midfield,Retired,free transfer,34,2,16,33,31,0
Defensive Midfield,Retired,free transfer,35,1,27,24,32,0
Right-Back,Retired,free transfer,37,3,16,2,9,1
Left-Back,Retired,free transfer,32,1,13,8,25,1
Goalkeeper,Retired,free transfer,38,2,8,0,27,0
Goalkeeper,Retired,free transfer,36,1,6,15,42,0
Centre-Forward,Retired,free transfer,36,1,0,13,7,1
Centre-Forward,Retired,free transfer,39,2,26,24,13,0
Left Midfield,Retired,free transfer,35,1,28,13,13,0
Right Midfield,Retired,free transfer,38,2,19,34,21,0
Central Midfield,Retired,free transfer,35,4,0,4,27,2
Defensive Midfield,Retired,free transfer,36,3,1,31,27,0
Right-Back,Retired,free transfer,35,2,23,25,24,0
Centre-Back,Retired,free transfer,33,2,13,10,22,2
Centre-Back,Retired,free transfer,39,6,4,25,27,0
Centre-Back,Retired,free transfer,35,4,6,6,10,1
Centre-Forward,Retired,free transfer,39,1,0,17,39,2
Centre-Forward,Retired,free transfer,37,3,2,2,4,0
Left Midfield,Retired,free transfer,36,1,13,12,30,1
Defensive Midfield,Retired,free transfer,38,1,13,32,29,0
Right-Back,Retired,free transfer,34,3,8,12,35,1
Right-Back,Retired,free transfer,32,3,3,19,29,3
Left-Back,Retired,free transfer,34,1,12,42,11,1
Centre-Back,Retired,free transfer,34,1,3,28,31,2
Centre-Back,Retired,free transfer,30,3,1,23,16,0
Centre-Back,Retired,free transfer,36,1,1,4,11,0
Centre-Back,Retired,free transfer,37,3,15,20,29,0
Centre-Back,Retired,free transfer,36,2,18,12,30,0
Centre-Forward,Retired,free transfer,35,1,12,30,25,0
Centre-Forward,Retired,free transfer,40,3,25,25,36,0
Centre-Forward,Retired,free transfer,38,1,31,18,18,1
Centre-Back,Retired,free transfer,35,17,38,31,38,2
Centre-Forward,Retired,free transfer,33,1,13,16,38,1
Centre-Forward,Retired,free transfer,36,1,31,19,35,8
Attacking Midfield,Retired,free transfer,39,1,14,18,16,2
Left Midfield,Retired,free transfer,42,1,8,13,37,1
Right Midfield,Retired,free transfer,38,1,4,18,30,1
Central Midfield,Retired,free transfer,33,1,10,40,15,1
Central Midfield,Retired,free transfer,33,2,2,4,6,5
Defensive Midfield,Retired,free transfer,40,2,0,16,45,0
Centre-Back,Retired,free transfer,34,1,12,7,6,5
Centre-Back,Retired,free transfer,37,2,31,26,6,1
Centre-Back,Retired,free transfer,35,1,3,13,10,6
Centre-Back,Retired,free transfer,36,1,17,26,21,3
Centre-Back,Retired,free transfer,37,1,12,16,40,1
Goalkeeper,Retired,free transfer,37,2,38,43,5,2
Centre-Forward,Retired,free transfer,33,1,21,37,13,1
Centre-Forward,Retired,free transfer,36,1,32,26,22,5
Centre-Forward,Retired,free transfer,36,1,11,24,34,2
Left Midfield,Retired,free transfer,40,23,22,32,33,0
Central Midfield,Retired,free transfer,30,2,24,29,14,0
Central Midfield,Retired,free transfer,33,1,7,11,7,0
Central Midfield,Retired,free transfer,36,1,14,29,40,0
Central Midfield,Retired,free transfer,38,4,25,23,31,0
Central Midfield,Retired,free transfer,39,1,21,21,33,3
Right-Back,Retired,free transfer,36,17,4,29,29,1
Left-Back,Retired,free transfer,35,1,14,19,27,2
Left-Back,Retired,free transfer,33,1,6,15,26,1
Left-Back,Retired,free transfer,38,1,14,8,1,3
Left-Back,Retired,free transfer,38,1,14,25,35,4
Centre-Back,Retired,free transfer,39,1,15,12,8,0
Centre-Back,Retired,free transfer,38,1,11,40,30,1
Centre-Back,Retired,free transfer,36,2,31,36,32,0
Centre-Back,Retired,free transfer,37,1,12,23,34,1
Centre-Forward,Retired,free transfer,35,1,5,9,26,2
Centre-Forward,Retired,free transfer,39,1,13,29,30,1
Centre-Forward,Retired,free transfer,37,2,6,31,34,3
Right Winger,Retired,free transfer,38,1,3,9,22,1
Right Winger,Retired,free transfer,37,1,7,19,34,11
Attacking Midfield,Retired,free transfer,38,3,31,29,48,0
Right Midfield,Retired,free transfer,32,1,11,21,17,2
Right Midfield,Retired,free transfer,37,1,15,18,34,5
Central Midfield,Retired,free transfer,36,6,15,19,37,5
Central Midfield,Retired,free transfer,34,1,28,30,32,4
Central Midfield,Retired,free transfer,33,2,2,4,6,5
Central Midfield,Retired,free transfer,34,4,2,18,24,2
Defensive Midfield,Retired,free transfer,36,3,35,55,49,0
Defensive Midfield,Retired,free transfer,36,1,31,22,44,0
Defensive Midfield,Retired,free transfer,33,2,29,22,22,0
Defensive Midfield,Retired,free transfer,37,3,15,21,31,1
Right-Back,Retired,free transfer,31,11,15,39,16,0
Right-Back,Retired,free transfer,37,2,31,22,25,5
Left-Back,Retired,free transfer,34,3,18,5,40,3
Centre-Back,Retired,free transfer,37,1,7,28,26,1
Centre-Back,Retired,free transfer,33,1,3,27,20,2
Centre-Back,Retired,free transfer,39,2,8,21,27,0
Centre-Back,Retired,free transfer,36,3,34,39,39,1
Centre-Back,Retired,free transfer,35,2,4,27,3,2
Goalkeeper,Retired,free transfer,34,1,0,0,1,0
Second Striker,Retired,free transfer,34,1,11,13,24,0
Attacking Midfield,Retired,free transfer,34,0,21,28,34,5
Defensive Midfield,Retired,free transfer,36,1,23,33,12,1
Right-Back,Retired,free transfer,34,2,1,1,14,2
Right-Back,Retired,free transfer,34,1,26,13,10,0
Right-Back,Retired,free transfer,35,8,40,40,34,0
Left-Back,Retired,free transfer,34,2,16,20,28,1
Centre-Back,Retired,free transfer,31,1,6,14,12,1
Centre-Back,Retired,free transfer,36,4,1,40,32,0
Centre-Back,Retired,free transfer,36,2,5,29,35,0
Centre-Back,Retired,free transfer,39,1,35,40,33,16
Centre-Back,Retired,free transfer,35,1,30,44,26,1
Goalkeeper,Retired,free transfer,37,1,1,17,37,2
Centre-Forward,Retired,free transfer,35,2,13,2,22,0
Centre-Forward,Retired,free transfer,37,1,27,34,32,0
Centre-Forward,Retired,free transfer,39,2,10,28,21,0
Centre-Forward,Retired,free transfer,35,2,3,12,20,3
Attacking Midfield,Retired,free transfer,36,5,0,14,24,0
Attacking Midfield,Retired,free transfer,36,2,4,12,17,1
Defensive Midfield,Retired,free transfer,34,1,14,19,51,4
Defensive Midfield,Retired,free transfer,35,1,14,20,37,1
Right-Back,Retired,free transfer,36,3,9,24,15,1
Right-Back,Retired,free transfer,37,1,2,15,31,0
Left-Back,Retired,free transfer,32,1,21,26,25,1
Left-Back,Retired,free transfer,35,7,8,30,35,0
Centre-Back,Retired,free transfer,31,1,19,18,12,0
Centre-Back,Retired,free transfer,34,1,21,37,37,1
Centre-Back,Retired,free transfer,33,13,9,18,39,4
Goalkeeper,Retired,free transfer,38,3,4,35,33,4
Centre-Forward,Retired,free transfer,36,3,34,37,15,1
Right Midfield,Retired,free transfer,39,1,7,15,31,2
Central Midfield,Retired,free transfer,36,4,7,18,28,0
Defensive Midfield,Retired,free transfer,33,2,8,7,18,0
Defensive Midfield,Retired,free transfer,31,5,31,26,28,0
Defensive Midfield,Retired,free transfer,35,1,13,17,29,0
Right-Back,Retired,free transfer,38,1,27,21,19,0
Centre-Back,Retired,free transfer,36,2,1,7,20,3
Centre-Back,Retired,free transfer,32,1,6,30,12,0
Centre-Back,Retired,free transfer,33,1,11,13,8,11
Centre-Back,Retired,free transfer,34,2,3,15,15,1
Goalkeeper,Retired,free transfer,38,3,4,24,6,0
Goalkeeper,Retired,free transfer,37,1,12,28,14,4
Centre-Forward,Retired,free transfer,37,2,1,28,32,2
Centre-Forward,Retired,free transfer,37,1,23,24,9,4
Centre-Forward,Retired,free transfer,36,1,4,16,27,3
Left Midfield,Retired,free transfer,36,1,24,11,8,0
Right Midfield,Retired,free transfer,34,4,5,9,26,0
Defensive Midfield,Retired,free transfer,38,1,25,24,18,6
Right-Back,Retired,free transfer,33,7,19,25,15,0
Right-Back,Retired,free transfer,32,2,16,37,13,1
Left-Back,Retired,free transfer,35,1,23,9,7,3
Left-Back,Retired,free transfer,35,5,21,41,36,0
Centre-Back,Retired,free transfer,38,1,1,15,26,0
Centre-Back,Retired,free transfer,32,5,8,24,20,2
Centre-Back,Retired,free transfer,37,1,11,34,36,3
Centre-Forward,Retired,free transfer,38,4,1,3,4,0
Centre-Forward,Retired,free transfer,37,2,23,33,25,3
Centre-Forward,Retired,free transfer,35,1,0,13,14,0
Defensive Midfield,Retired,free transfer,35,1,7,8,25,0
Centre-Back,Retired,free transfer,38,2,11,17,18,0
Centre-Forward,Retired,free transfer,36,1,12,2,1,0
Attacking Midfield,Retired,free transfer,35,2,25,23,11,0
Right-Back,Retired,free transfer,31,1,4,11,10,0
Left-Back,Retired,free transfer,30,1,25,27,16,0
Centre-Back,Retired,free transfer,34,3,9,4,8,1
Centre-Back,Retired,free transfer,37,1,13,28,38,0
Centre-Back,Retired,free transfer,33,2,2,24,26,0
Goalkeeper,Retired,free transfer,37,1,0,21,6,2
Centre-Forward,Retired,free transfer,36,1,1,1,3,0
Right Winger,Retired,free transfer,34,1,5,7,35,0
Attacking Midfield,Retired,free transfer,40,3,33,17,34,0
Defensive Midfield,Retired,free transfer,37,4,31,34,8,0
Right-Back,Retired,free transfer,36,1,1,23,31,2
Left-Back,Retired,free transfer,35,1,2,3,12,1
Left-Back,Retired,free transfer,34,1,4,1,31,0
Centre-Back,Retired,free transfer,37,2,1,31,26,0
Attacking Midfield,Retired,free transfer,34,1,32,24,27,0
Left Midfield,Retired,free transfer,37,1,5,26,16,0
Right Midfield,Retired,free transfer,37,1,7,45,13,0
Central Midfield,Retired,free transfer,34,2,14,26,29,2
Defensive Midfield,Retired,free transfer,31,1,16,10,20,0
Left-Back,Retired,free transfer,35,1,5,25,30,0
Centre-Back,Retired,free transfer,32,1,19,18,16,0
Centre-Back,Retired,free transfer,35,1,16,3,21,0
Centre-Back,Retired,free transfer,38,1,1,15,27,0
Defender,Retired,free transfer,30,1,15,18,4,0
Goalkeeper,Retired,free transfer,40,2,11,10,3,0
Centre-Forward,Retired,free transfer,35,1,13,17,11,2
Centre-Forward,Retired,free transfer,36,3,26,10,27,0
Left Winger,Retired,free transfer,34,5,6,2,33,0
Right-Back,Retired,free transfer,37,1,16,25,16,1
Right-Back,Retired,free transfer,35,2,7,17,28,0
Right-Back,Retired,free transfer,34,1,1,9,33,1
Right-Back,Retired,free transfer,36,1,21,24,23,0
Left-Back,Retired,free transfer,38,3,25,12,29,0
Right Midfield,Retired,free transfer,38,1,8,1,6,0
Central Midfield,Retired,free transfer,34,3,23,27,28,0
Central Midfield,Retired,free transfer,36,3,8,26,24,0
Central Midfield,Retired,free transfer,36,1,21,11,23,2
Centre-Back,Retired,free transfer,33,1,1,14,40,1
Centre-Back,Retired,free transfer,39,3,18,26,24,0
Centre-Back,Retired,free transfer,38,7,6,10,2,2
Centre-Back,Retired,free transfer,37,6,24,32,27,1
Central Midfield,Retired,free transfer,34,1,21,12,1,1
Defensive Midfield,Retired,free transfer,35,1,3,0,25,0
Defensive Midfield,Retired,free transfer,37,1,25,24,32,0
Left-Back,Retired,free transfer,32,1,11,22,37,5
Centre-Back,Retired,free transfer,35,2,37,36,6,0
Centre-Back,Retired,free transfer,36,1,0,9,26,0
Centre-Back,Retired,free transfer,34,2,8,34,19,0
Defensive Midfield,Retired,free transfer,35,1,13,24,17,4
Right-Back,Retired,free transfer,33,1,12,31,28,0
Right-Back,Retired,free transfer,37,3,22,20,38,0
Goalkeeper,Retired,free transfer,40,1,8,6,39,2
Right Midfield,Retired,free transfer,39,6,7,9,32,3
Central Midfield,Retired,free transfer,35,1,34,13,27,1
Central Midfield,Retired,free transfer,34,1,11,24,19,1
Central Midfield,Retired,free transfer,35,1,23,25,32,2
Defensive Midfield,Retired,free transfer,36,1,8,13,13,2
Defensive Midfield,Retired,free transfer,37,1,5,27,32,10
Left-Back,Retired,free transfer,38,4,18,29,30,0
Centre-Back,Retired,free transfer,37,2,13,30,36,0
Centre-Back,Retired,free transfer,33,0,12,24,9,1
Attacking Midfield,Retired,free transfer,40,2,18,32,35,0
Central Midfield,Retired,free transfer,36,2,14,1,2,0
Defensive Midfield,Retired,free transfer,35,1,27,36,37,1
midfield,Retired,free transfer,36,1,19,23,15,0
Left-Back,Retired,free transfer,33,2,16,30,35,6
Centre-Back,Retired,free transfer,36,3,6,12,21,0
Centre-Back,Retired,free transfer,33,1,5,14,43,7
Centre-Back,Retired,free transfer,34,2,0,1,18,0
Goalkeeper,Retired,free transfer,40,1,4,38,34,0
Central Midfield,Retired,free transfer,38,3,14,34,33,0
Right-Back,Retired,free transfer,34,1,38,34,20,0
Right-Back,Retired,free transfer,33,1,10,11,28,0
Right-Back,Retired,free transfer,33,1,1,1,2,0
Right-Back,Retired,free transfer,39,4,32,38,48,2
Left-Back,Retired,free transfer,38,1,31,28,29,0
Centre-Back,Retired,free transfer,30,1,20,23,40,0
Centre-Back,Retired,free transfer,37,1,25,28,21,0
Goalkeeper,Retired,free transfer,37,1,28,7,34,0
Centre-Forward,Retired,free transfer,34,4,13,12,22,2
Centre-Forward,Retired,free transfer,36,3,15,30,46,0
Attacking Midfield,Retired,free transfer,32,2,6,13,7,2
Right Midfield,Retired,free transfer,35,3,8,25,39,0
Left Winger,Retired,free transfer,37,1,13,29,31,0
Left Winger,Retired,free transfer,37,1,1,11,13,0
Central Midfield,Retired,free transfer,38,1,1,9,12,0
Central Midfield,Retired,free transfer,33,1,10,18,31,0
