position,lastTransferFee,retirementAge,gamesPlayedLastYear,gamesPlayedLast2Year,gamesPlayedLast3Year,injurysLast3Year
Centre-Forward,free transfer,38,11,24,31,2
Centre-Forward,free transfer,34,12,26,19,0
Attacking Midfield,free transfer,32,31,29,41,1
Attacking Midfield,free transfer,35,0,18,20,0
Right Midfield,free transfer,38,1,28,35,0
Central Midfield,free transfer,39,1,18,26,0
Defensive Midfield,free transfer,34,16,33,31,0
Defensive Midfield,free transfer,35,27,24,32,0
Right-Back,free transfer,37,16,2,9,1
Left-Back,free transfer,32,13,8,25,1
Goalkeeper,free transfer,38,8,0,27,0
Goalkeeper,free transfer,36,6,15,42,0
Centre-Forward,free transfer,36,0,13,7,1
Centre-Forward,free transfer,39,26,24,13,0
Left Midfield,free transfer,35,28,13,13,0
Right Midfield,free transfer,38,19,34,21,0
Central Midfield,free transfer,35,0,4,27,2
Defensive Midfield,free transfer,36,1,31,27,0
Right-Back,free transfer,35,23,25,24,0
Centre-Back,free transfer,33,13,10,22,2
Centre-Back,free transfer,39,4,25,27,0
Centre-Back,free transfer,35,6,6,10,1
Centre-Forward,free transfer,39,0,17,39,2
Centre-Forward,free transfer,37,2,2,4,0
Left Midfield,free transfer,36,13,12,30,1
Defensive Midfield,free transfer,38,13,32,29,0
Right-Back,free transfer,34,8,12,35,1
Right-Back,free transfer,32,3,19,29,3
Left-Back,free transfer,34,12,42,11,1
Centre-Back,free transfer,34,3,28,31,2
Centre-Back,free transfer,30,1,23,16,0
Centre-Back,free transfer,36,1,4,11,0
Centre-Back,free transfer,37,15,20,29,0
Centre-Back,free transfer,36,18,12,30,0
Centre-Forward,free transfer,35,12,30,25,0
Centre-Forward,free transfer,40,25,25,36,0
Centre-Forward,free transfer,38,31,18,18,1
Centre-Back,free transfer,35,38,31,38,2
Centre-Forward,free transfer,33,13,16,38,1
Centre-Forward,free transfer,36,31,19,35,8
Attacking Midfield,free transfer,39,14,18,16,2
Left Midfield,free transfer,42,8,13,37,1
Right Midfield,free transfer,38,4,18,30,1
Central Midfield,free transfer,33,10,40,15,1
Central Midfield,free transfer,33,2,4,6,5
Defensive Midfield,free transfer,40,0,16,45,0
Centre-Back,free transfer,34,12,7,6,5
Centre-Back,free transfer,37,31,26,6,1
Centre-Back,free transfer,35,3,13,10,6
Centre-Back,free transfer,36,17,26,21,3
Centre-Back,free transfer,37,12,16,40,1
Goalkeeper,free transfer,37,38,43,5,2
Centre-Forward,free transfer,33,21,37,13,1
Centre-Forward,free transfer,36,32,26,22,5
Centre-Forward,free transfer,36,11,24,34,2
Left Midfield,free transfer,40,22,32,33,0
Central Midfield,free transfer,30,24,29,14,0
Central Midfield,free transfer,33,7,11,7,0
Central Midfield,free transfer,36,14,29,40,0
Central Midfield,free transfer,38,25,23,31,0
Central Midfield,free transfer,39,21,21,33,3
Right-Back,free transfer,36,4,29,29,1
Left-Back,free transfer,35,14,19,27,2
Left-Back,free transfer,33,6,15,26,1
Left-Back,free transfer,38,14,8,1,3
Left-Back,free transfer,38,14,25,35,4
Centre-Back,free transfer,39,15,12,8,0
Centre-Back,free transfer,38,11,40,30,1
Centre-Back,free transfer,36,31,36,32,0
Centre-Back,free transfer,37,12,23,34,1
Centre-Forward,free transfer,35,5,9,26,2
Centre-Forward,free transfer,39,13,29,30,1
Centre-Forward,free transfer,37,6,31,34,3
Right Winger,free transfer,38,3,9,22,1
Right Winger,free transfer,37,7,19,34,11
Attacking Midfield,free transfer,38,31,29,48,0
Right Midfield,free transfer,32,11,21,17,2
Right Midfield,free transfer,37,15,18,34,5
Central Midfield,free transfer,36,15,19,37,5
Central Midfield,free transfer,34,28,30,32,4
Central Midfield,free transfer,33,2,4,6,5
Central Midfield,free transfer,34,2,18,24,2
Defensive Midfield,free transfer,36,35,55,49,0
Defensive Midfield,free transfer,36,31,22,44,0
Defensive Midfield,free transfer,33,29,22,22,0
Defensive Midfield,free transfer,37,15,21,31,1
Right-Back,free transfer,31,15,39,16,0
Right-Back,free transfer,37,31,22,25,5
Left-Back,free transfer,34,18,5,40,3
Centre-Back,free transfer,37,7,28,26,1
Centre-Back,free transfer,33,3,27,20,2
Centre-Back,free transfer,39,8,21,27,0
Centre-Back,free transfer,36,34,39,39,1
Centre-Back,free transfer,35,4,27,3,2
Goalkeeper,free transfer,34,0,0,1,0
Second Striker,free transfer,34,11,13,24,0
Attacking Midfield,free transfer,34,21,28,34,5
Defensive Midfield,free transfer,36,23,33,12,1
Right-Back,free transfer,34,1,1,14,2
Right-Back,free transfer,34,26,13,10,0
Right-Back,free transfer,35,40,40,34,0
Left-Back,free transfer,34,16,20,28,1
Centre-Back,free transfer,31,6,14,12,1
Centre-Back,free transfer,36,1,40,32,0
Centre-Back,free transfer,36,5,29,35,0
Centre-Back,free transfer,39,35,40,33,16
Centre-Back,free transfer,35,30,44,26,1
Goalkeeper,free transfer,37,1,17,37,2
Centre-Forward,free transfer,35,13,2,22,0
Centre-Forward,free transfer,37,27,34,32,0
Centre-Forward,free transfer,39,10,28,21,0
Centre-Forward,free transfer,35,3,12,20,3
Attacking Midfield,free transfer,36,0,14,24,0
Attacking Midfield,free transfer,36,4,12,17,1
Defensive Midfield,free transfer,34,14,19,51,4
Defensive Midfield,free transfer,35,14,20,37,1
Right-Back,free transfer,36,9,24,15,1
Right-Back,free transfer,37,2,15,31,0
Left-Back,free transfer,32,21,26,25,1
Left-Back,free transfer,35,8,30,35,0
Centre-Back,free transfer,31,19,18,12,0
Centre-Back,free transfer,34,21,37,37,1
Centre-Back,free transfer,33,9,18,39,4
Goalkeeper,free transfer,38,4,35,33,4
Centre-Forward,free transfer,36,34,37,15,1
Right Midfield,free transfer,39,7,15,31,2
Central Midfield,free transfer,36,7,18,28,0
Defensive Midfield,free transfer,33,8,7,18,0
Defensive Midfield,free transfer,31,31,26,28,0
Defensive Midfield,free transfer,35,13,17,29,0
Right-Back,free transfer,38,27,21,19,0
Centre-Back,free transfer,36,1,7,20,3
Centre-Back,free transfer,32,6,30,12,0
Centre-Back,free transfer,33,11,13,8,11
Centre-Back,free transfer,34,3,15,15,1
Goalkeeper,free transfer,38,4,24,6,0
Goalkeeper,free transfer,37,12,28,14,4
Centre-Forward,free transfer,37,1,28,32,2
Centre-Forward,free transfer,37,23,24,9,4
Centre-Forward,free transfer,36,4,16,27,3
Left Midfield,free transfer,36,24,11,8,0
Right Midfield,free transfer,34,5,9,26,0
Defensive Midfield,free transfer,38,25,24,18,6
Right-Back,free transfer,33,19,25,15,0
Right-Back,free transfer,32,16,37,13,1
Left-Back,free transfer,35,23,9,7,3
Left-Back,free transfer,35,21,41,36,0
Centre-Back,free transfer,38,1,15,26,0
Centre-Back,free transfer,32,8,24,20,2
Centre-Back,free transfer,37,11,34,36,3
Centre-Forward,free transfer,38,1,3,4,0
Centre-Forward,free transfer,37,23,33,25,3
Centre-Forward,free transfer,35,0,13,14,0
Defensive Midfield,free transfer,35,7,8,25,0
Centre-Back,free transfer,38,11,17,18,0
Centre-Forward,free transfer,36,12,2,1,0
Attacking Midfield,free transfer,35,25,23,11,0
Right-Back,free transfer,31,4,11,10,0
Left-Back,free transfer,30,25,27,16,0
Centre-Back,free transfer,34,9,4,8,1
Centre-Back,free transfer,37,13,28,38,0
Centre-Back,free transfer,33,2,24,26,0
Goalkeeper,free transfer,37,0,21,6,2
Centre-Forward,free transfer,36,1,1,3,0
Right Winger,free transfer,34,5,7,35,0
Attacking Midfield,free transfer,40,33,17,34,0
Defensive Midfield,free transfer,37,31,34,8,0
Right-Back,free transfer,36,1,23,31,2
Left-Back,free transfer,35,2,3,12,1
Left-Back,free transfer,34,4,1,31,0
Centre-Back,free transfer,37,1,31,26,0
